,region_name,decade,N_est,score
0,Arabic world,-610,5.529169521571941,1
1,Arabic world,-400,2.6114481695514074,1
2,Arabic world,-360,14.825989817246173,3
3,Arabic world,-330,6.061845843707764,1
4,Arabic world,-310,6.022250141700264,1
5,Arabic world,-300,24.011957886605668,4
6,Arabic world,-280,5.966344902292305,1
7,Arabic world,-270,23.797637069905036,4
8,Arabic world,-260,11.867531309488077,2
9,Arabic world,-250,5.9197372471121525,1
10,Arabic world,-240,11.815360499058889,2
11,Arabic world,-230,5.897978491593912,1
12,Arabic world,-220,11.782074155364153,2
13,Arabic world,-200,6.199979774806015,1
14,Arabic world,-170,5.908834947422406,1
15,Arabic world,-160,11.84439270238846,2
16,Arabic world,-120,17.979346195279152,3
17,Arabic world,-100,12.062756403642297,2
18,Arabic world,-90,12.098403789803701,2
19,Arabic world,-60,12.181004190476163,2
20,Arabic world,-50,12.196684572939741,2
21,Arabic world,-40,12.20466293296544,2
22,Arabic world,-20,6.096817325483878,1
23,Arabic world,-10,6.08643164070538,1
24,Arabic world,40,11.888683258940478,2
25,Arabic world,50,5.896187523322865,1
26,Arabic world,60,34.41411916035432,1
27,Arabic world,70,5.779037315397941,1
28,Arabic world,80,11.419927012204495,2
29,Arabic world,100,16.6527395523797,3
30,Arabic world,140,46.47121435905006,9
31,Arabic world,170,4.845036620819613,1
32,Arabic world,200,18.12063218919801,4
33,Arabic world,210,4.429343020474509,1
34,Arabic world,220,4.331584872637942,1
35,Arabic world,240,29.030485472952584,7
36,Arabic world,250,4.061464376363384,1
37,Arabic world,280,19.171759698584022,5
38,Arabic world,290,3.7697339643115284,1
39,Arabic world,300,3.711131631147558,1
40,Arabic world,320,3.613050443854414,1
41,Arabic world,340,14.169279434181659,4
42,Arabic world,350,3.51797397097806,1
43,Arabic world,370,3.4931465561986865,1
44,Arabic world,380,26.159709015273748,3
45,Arabic world,400,21.136782232660376,6
46,Arabic world,420,3.5932038785692284,1
47,Arabic world,440,22.223088958240204,6
48,Arabic world,450,3.773726773772436,1
49,Arabic world,470,3.941788635269459,1
50,Arabic world,480,20.198319274103437,5
51,Arabic world,500,8.524389924376434,2
52,Arabic world,540,19.22527439997514,4
53,Arabic world,560,10.240974345242458,2
54,Arabic world,580,10.909839913145253,2
55,Arabic world,600,17.40326481377856,3
56,Arabic world,610,11.950502327251268,2
57,Arabic world,620,67.16178151814317,6
58,Arabic world,630,75.42228624310499,7
59,Arabic world,640,38.894619280838434,6
60,Arabic world,650,6.640108682458638,1
61,Arabic world,660,27.154524429812124,4
62,Arabic world,680,56.394348825196154,8
63,Arabic world,690,21.470551763982986,3
64,Arabic world,700,42.186101790739244,5
65,Arabic world,710,21.946300852127294,3
66,Arabic world,720,36.82370955113515,5
67,Arabic world,730,29.579185072879945,4
68,Arabic world,740,125.91013663583684,17
69,Arabic world,750,7.40082064477559,1
70,Arabic world,760,81.26045825869976,6
71,Arabic world,770,14.68442157630362,2
72,Arabic world,780,87.50219939050807,12
73,Arabic world,790,43.37570624244799,6
74,Arabic world,800,100.18810596197348,9
75,Arabic world,810,56.585879839197474,8
76,Arabic world,820,34.91307277597273,5
77,Arabic world,830,75.63318943161893,6
78,Arabic world,840,115.16412002123346,12
79,Arabic world,850,40.06287633844626,6
80,Arabic world,860,39.41130086285552,6
81,Arabic world,870,58.1278149627775,9
82,Arabic world,880,50.78869139988744,8
83,Arabic world,890,24.957823356051236,4
84,Arabic world,900,18.396811725980243,3
85,Arabic world,910,6.02797933744447,1
86,Arabic world,920,35.56479559329214,6
87,Arabic world,930,29.157766972422724,5
88,Arabic world,940,80.37413272944177,14
89,Arabic world,950,22.62621365114522,4
90,Arabic world,960,11.157727541003121,2
91,Arabic world,970,22.03434979938808,4
92,Arabic world,980,107.82401410688722,19
93,Arabic world,990,16.178294202580542,3
94,Arabic world,1000,16.045345048848517,3
95,Arabic world,1010,37.19689484697311,7
96,Arabic world,1020,58.175375115313486,11
97,Arabic world,1030,15.817568265637172,3
98,Arabic world,1040,68.44550917409542,13
99,Arabic world,1050,26.329530401039136,5
100,Arabic world,1060,36.92396302497816,7
101,Arabic world,1070,21.166571999783255,4
102,Arabic world,1080,42.528644592304055,8
103,Arabic world,1090,32.087981988785025,6
104,Arabic world,1100,37.710771318420875,7
105,Arabic world,1110,97.04657159655073,13
106,Arabic world,1120,32.92411584374018,6
107,Arabic world,1130,27.740179271572963,5
108,Arabic world,1140,105.58090044894527,18
109,Arabic world,1150,62.59451802842851,11
110,Arabic world,1160,75.03661540949797,13
111,Arabic world,1170,58.60635694469778,10
112,Arabic world,1180,95.29886426459228,16
113,Arabic world,1190,72.24144245809507,7
114,Arabic world,1200,123.3637378132599,20
115,Arabic world,1210,75.05796562647976,7
116,Arabic world,1220,121.75666020489008,19
117,Arabic world,1230,123.99623027045024,14
118,Arabic world,1240,140.20828292634104,21
119,Arabic world,1250,122.67153502837854,13
120,Arabic world,1260,90.65455714187443,13
121,Arabic world,1270,42.795514556733394,6
122,Arabic world,1280,80.68584311658594,11
123,Arabic world,1290,14.944775492447713,2
124,Arabic world,1300,49.00833738004116,7
125,Arabic world,1310,23.521960361526865,3
126,Arabic world,1320,117.80509858051563,13
127,Arabic world,1330,49.41890274881345,6
128,Arabic world,1340,101.33020294000205,12
129,Arabic world,1350,34.632050771333354,4
130,Arabic world,1360,44.38804622114806,5
131,Arabic world,1370,27.307662181172415,3
132,Arabic world,1380,37.329470362925164,4
133,Arabic world,1390,19.133014199817186,2
134,Arabic world,1400,49.02182110415349,5
