,region_name,year,log_numeracy_std,N_est_log_std,N_est,numeracy_weighted
0,Arabic world,1770,0.5911160479239104,0.6052756641345155,104.87138074516871,12.931
1,Arabic world,1780,0.32957601967674144,0.6501739059008445,148.09678328939535,4.16667
2,Arabic world,1790,0.41993741629044246,0.586024236788218,90.44568893395387,6.16197
3,Arabic world,1800,0.47474565443820216,0.6363855210273773,133.20311291369086,7.8125
4,Arabic world,1810,0.40050362938882467,0.6933916960187203,206.4544424370621,5.66465
5,Arabic world,1820,0.49234312169897065,0.660109398303046,159.8506294450688,8.43108
6,Arabic world,1830,0.3898775452473023,0.682381028044911,189.6994766455392,5.40991
7,Arabic world,1840,0.5096521223448792,0.7821166990567986,408.34239601916033,9.08728
8,Arabic world,1850,0.5285822533470639,0.8446154149504604,660.1926304484095,9.86355
9,Arabic world,1860,0.6176923324042011,0.8752688629259154,835.6114481106611,14.5081
10,Arabic world,1870,0.5037766495092554,0.8443173433809981,658.6816847671411,8.859
11,Arabic world,1880,0.7362861698375758,0.9304795003702514,1277.379678708767,24.245656748398495
28,Chinese world,1670,1.0492208047820273,0.7398174106440085,294.99333193080037,94.0
29,Chinese world,1720,1.061189198209846,0.5981253430408578,99.26274899470728,99.0
30,Chinese world,1770,1.058844626732888,0.7456163080466611,308.44041830478915,98.0
31,Chinese world,1820,1.0297858094042653,0.7231564782421244,259.5321789137305,86.413
32,Chinese world,1830,1.028090585815249,0.7902834209405937,434.79878379490486,85.781
33,Chinese world,1840,1.0176802819633268,0.7690331439202948,369.271874088939,82.0
34,Chinese world,1850,1.03138774622045,0.7655731120360717,359.57975579733255,87.0145
35,Chinese world,1860,1.0461800034046074,0.796501490036591,456.0860309895971,92.7704
36,Chinese world,1870,1.0530717214470904,0.7727682757319441,380.028024073183,95.58060000000002
37,Chinese world,1880,1.0548645441741984,0.7827287734926806,410.2681724351062,96.3255
38,France,1670,1.0090728891529133,1.009025309211324,2336.350208696622,79.0
39,France,1720,0.9689631726890264,1.0992694271082462,4675.3013343058765,66.4046
40,France,1730,0.9894508651991959,1.0558264031451043,3347.9508854446303,72.5649
41,France,1740,1.0027359075005036,1.1370360641411557,6250.144272484528,76.8617
42,France,1750,1.0172193538342071,1.0792191105903297,4007.499480943724,81.8365
43,France,1760,1.0259734688275974,1.1346783417485315,6137.888622860891,84.9982
44,France,1770,1.0355346198728153,1.1423839995809126,6512.43844756855,88.5911
45,France,1780,1.048830582631459,1.2009038460272934,10211.904441786148,93.84130000000002
46,France,1790,1.0528824583529817,1.1692049666341169,8003.555422363069,95.5023
47,France,1800,1.0514223716005349,1.2231821647465526,12119.392610128276,94.9004
48,France,1810,1.0538252999152768,1.1775107127645583,8531.215729875083,95.893
49,France,1820,1.056410288318133,1.2283638424430294,12611.867746251417,96.9724
50,France,1830,1.0579554542328478,1.2250513175098243,12294.782460304881,97.6234
51,France,1850,1.0635102057556678,1.3023627675507248,22275.01448689399,100.0
52,France,1860,1.0635102057556678,1.3382229964385877,29344.996514085426,100.0
53,France,1870,1.0627982814325487,1.298157828609145,21566.526049198073,99.6922
54,France,1880,1.0635102057556678,1.3500270770505605,32132.232209098434,100.0
55,German world,1500,0.8519035755050622,1.0152385472496432,2450.64421217318,40.0
56,German world,1620,1.0098304257879616,1.2081238694973522,10794.688754527977,79.25956566701137
57,German world,1670,1.0090728891529133,1.1949080522367554,9751.924663978807,79.0
58,German world,1710,1.0046496850372406,1.2281492015730155,12591.076109920687,77.50129667170953
59,German world,1720,0.995100402176397,1.2780930599774856,18483.993817560768,74.36197610294118
60,German world,1730,1.0350835776583003,1.2537324594810177,15327.460174568747,88.41824288137272
61,German world,1740,1.0331554022402345,1.2983707575359302,21601.854565784277,87.68308490059108
62,German world,1750,1.0381929030877062,1.2828055620523633,19165.849263900745,89.61674555083944
63,German world,1760,1.0435203062033365,1.3188764955505325,25289.92568632069,91.7081
64,German world,1770,1.0348918281701565,1.3042091979010513,22593.428162410994,88.34485914343173
65,German world,1780,1.05748256877473,1.3665016788862283,36470.341984877385,97.42370401161322
66,German world,1790,1.057771030717741,1.3541106029868286,33156.85816894917,97.54547068688343
67,German world,1800,1.038166506465164,1.3866955436851334,42594.66344535062,89.60650279705882
68,German world,1810,1.0588186704094065,1.3516922529815838,32546.17333547814,97.98898590368182
69,German world,1820,1.0558725674941685,1.3962518994690123,45841.43494174881,96.74687042016807
70,German world,1830,1.0603341973985698,1.4046241228902399,48888.65613106463,98.63415085057744
71,German world,1840,1.060049484061376,1.467243208709152,79114.51000715444,98.51262421887648
72,German world,1850,1.0623961805374278,1.4435484150047437,65940.65534127453,99.51877080474111
73,German world,1860,1.0617722080623389,1.475559270572089,84337.07764713101,99.25024385427865
74,German world,1870,1.0624080657500095,1.4627282876409982,76415.85822383554,99.52389265827695
75,German world,1880,1.0633711180868552,1.5157469513095452,114863.33305003389,99.93979093603744
76,Greek World,1520,0.8899873024066965,0.4237481768388066,25.980302903076225,47.171415948751935
77,Greek World,1620,0.9811402980874708,0.395741858814241,20.948247685007697,70.0
78,Greek World,1720,0.9869197758716043,0.5044693127399561,48.31970545417087,71.77392941876916
79,Greek World,1730,0.9972502228252358,0.48155486542706366,40.515995020469816,75.05744895434027
80,Greek World,1740,1.0058918208718366,0.2609727286125323,7.4341853963561615,77.91927191984657
81,Greek World,1750,1.013034655966349,0.5324406913111063,59.91066580934137,80.36694338866835
82,Greek World,1760,1.0247661439437932,0.6275330251737639,124.44032401574472,84.55499651031938
83,Greek World,1770,1.0148904305160265,0.38758661258287214,19.67533623155744,81.0153580240569
84,Greek World,1780,1.017424553482101,0.25733239877247516,7.229037573384821,81.90924793008395
85,Greek World,1790,1.0227574468677192,0.5660228962588258,77.55597113767877,83.82272797706312
86,Greek World,1800,1.022839757290146,0.7347361593965688,283.69318985414696,83.8526091775246
87,Greek World,1810,1.0243110867579244,0.6678039139996582,169.59060199601404,84.38854740574965
88,Greek World,1820,1.0029426418259264,0.7436760175522626,303.87418184958034,76.93053685223977
89,Greek World,1830,1.011840809384809,0.7634706740640546,353.81516046087916,79.95255466937445
90,Greek World,1840,0.9891407559181301,0.8456607159412324,665.518776795475,72.46752357412562
91,Greek World,1850,1.0240451288971921,0.9141108118169228,1126.3533256120695,84.29141809356273
92,Greek World,1860,1.0304570614471869,0.909118181575308,1083.9449091858255,86.66453593906975
93,Greek World,1870,1.0278589256331296,0.8842925080075925,895.6307341231095,85.69499400731233
94,Greek World,1880,1.034170490097037,0.9665717085097751,1685.8173194817007,88.06934361866567
95,Indian world,1830,0.8143717290870379,0.5860156452528448,90.43971583946113,34.0
96,Indian world,1840,0.7930391909329042,0.6446064455441006,141.8924124523527,31.0
97,Indian world,1850,0.8275717964045389,0.6781455962587348,183.62276989432584,36.0
98,Indian world,1860,0.8361702612787019,0.6798556929583597,186.05251044957333,37.36564404631399
99,Indian world,1870,0.8423069093208213,0.7708228792861886,374.3872903678098,38.37185877569531
100,Indian world,1880,0.8708782708821328,0.8117091577275435,512.6443402543439,43.42533106436452
101,Italy,1520,0.9254467409967553,1.0859002220534042,4218.691318782869,55.0
102,Italy,1720,1.0014122023545609,1.2010871050930054,10226.300155969897,76.4224
103,Italy,1730,1.0091503428102468,1.1421018212663423,6498.327654886763,79.0265
104,Italy,1740,1.0108106496226623,1.232735443918842,13042.882933046903,79.5967
105,Italy,1750,1.0062629717096765,1.172679198262037,8220.180587036068,78.0446
106,Italy,1760,1.0228518497291372,1.2115622658325198,11083.805441315817,83.857
107,Italy,1770,1.0289992925668148,1.1987923107497305,10047.48985672087,86.1192
108,Italy,1790,1.022042422829339,1.1788123655566378,8617.005536015318,83.5636
109,Italy,1800,1.027015250459514,1.232301857874602,12999.483863213802,85.3825
110,Italy,1810,1.0212384688808704,1.2154309955866982,11418.374721700266,83.2732
111,Italy,1820,1.025616453693407,1.2473394106210847,14592.42911455505,84.8669
112,Italy,1830,1.034124219789387,1.2268656071925306,12467.45150698765,88.0517
113,Italy,1840,1.044995774112219,1.3139177893908143,24344.0801919715,92.2959
114,Italy,1850,1.062131089360527,1.3004242964055597,21945.555982385835,99.40459999999999
115,Italy,1860,1.0622551157574969,1.3481634659753094,31675.202724611867,99.45799999999998
116,Italy,1870,1.0617406916842822,1.309917471521059,23606.884634733393,99.2367
117,Italy,1880,1.0635102057556678,1.3504926170534968,32247.42632267353,100.0
118,Japan,1590,1.0148466475546212,0.4265729174680792,26.550600391616566,81.0
119,Japan,1800,1.058319942585689,0.780629426104901,403.7005574970727,97.7776
120,Japan,1810,1.0635102057556678,0.747530166605483,313.0116657566863,100.0
121,Japan,1860,1.0626346776565003,0.8638062182096061,765.1338203312772,99.6216
122,Japan,1870,1.0594057372948438,0.8765484843714331,843.8714217938596,98.2384
123,Japan,1880,1.0628434490245466,0.9242687432141141,1217.8280219789465,99.7117
124,Korea,1870,1.0635102057556678,0.32669878681892794,12.321221685092322,100.0
125,Korea,1880,1.0635102057556678,0.6115655798640068,110.06653371232639,100.0
126,Low countries,1500,0.9876460327181531,0.7891522738411626,431.03455742954844,72.0
127,Low countries,1720,0.9876460327181531,0.9657674463603264,1675.4271787949324,72.0
128,Low countries,1760,1.052770713072469,0.9751688186571222,1800.9894580062503,95.4561
129,Low countries,1770,1.058486443755977,0.9487267813956984,1469.7276607099136,97.84812080375487
130,Low countries,1780,1.0600591429819837,1.0155021362141519,2455.6147412518503,98.51674456394973
131,Low countries,1790,1.0600970239655667,0.9715108959819319,1751.0539753290175,98.53290566482713
132,Low countries,1800,1.0604051879858694,1.0067763405363208,2296.3070948494455,98.66447571406749
133,Low countries,1810,1.0613949461475083,0.9985804764486773,2156.0996606099193,99.08824054531685
134,Low countries,1820,1.0614263143168816,1.0391004358192266,2944.0215102204916,99.10170053754118
135,Low countries,1830,1.0616077404894138,1.0605482055530315,3471.701524492682,99.17958586871377
136,Low countries,1840,1.0608566238047452,1.144816835457663,6635.374352787361,98.85753264427218
137,Low countries,1850,1.062531612412084,1.1602552846420098,7471.456438088207,99.57714988737247
138,Low countries,1860,1.063047117996625,1.192220643332282,9552.535730281414,99.79967647058824
139,Low countries,1870,1.0634104226730055,1.1739762063796861,8302.546192449914,99.9568016540317
140,Low countries,1880,1.0632596977761821,1.2232246161872178,12123.348090398833,99.89158482888148
141,Nordic countries,1650,1.0090728891529133,0.7984976207961622,463.1382702813367,79.0
142,Nordic countries,1710,1.03507406267406,0.8679481847045012,789.8870107925322,88.4146
143,Nordic countries,1720,1.0583749676786958,0.94707726271502,1451.2094634967027,97.8009
144,Nordic countries,1730,1.06115187183076,0.9116836067801225,1105.532833893861,98.984
145,Nordic countries,1740,1.0527189339423229,1.0232736424199893,2606.7818505171153,95.4347
146,Nordic countries,1750,1.0563731341650147,1.0196502173560325,2535.17660331315,96.9568
147,Nordic countries,1760,1.0596991650567886,1.0620011474894036,3510.6933191942417,98.3633
148,Nordic countries,1770,1.0501957899282823,1.0148459145067295,2443.2589378513994,94.39769209580838
149,Nordic countries,1790,1.0634963490415479,1.1036082933920066,4833.864945461015,99.994
150,Nordic countries,1800,1.061956088371867,1.1047288401312698,4875.681796385602,99.32930147538437
151,Nordic countries,1810,1.059985116130776,1.1003275393016854,4713.483785134753,98.48517026277136
152,Nordic countries,1820,1.062039269924464,1.1287850549969476,5866.037151638668,99.36508529060849
153,Nordic countries,1830,1.0612316335385787,1.1194773832736156,5460.997849306194,99.01819309929185
154,Nordic countries,1840,1.061442817308975,1.186542180200212,9144.535396276244,99.10878265847529
155,Nordic countries,1850,1.062537305515123,1.1972738960851153,9930.897264015694,99.57960469865932
156,Nordic countries,1860,1.0625318676687696,1.232018407789981,12971.190490372064,99.57725995030495
