,region_name,year,log_Gender_equality_num_std,N_est_log_std,N_est,Gender_equality_num_weighted
0,Arabic world,1830,1.0036866416998929,0.6013953796729203,189.6994766455392,118.18257000000001
1,Arabic world,1840,1.000118695799128,0.6892943236206703,408.34239601916033,116.19457
2,Arabic world,1850,1.0004904954218883,0.744375630733835,660.1926304484095,116.40016
3,Arabic world,1860,0.9958492554940878,0.7713910974977637,835.6114481106611,113.85961
4,Arabic world,1870,1.0034685450052834,0.7441129345900102,658.6816847671411,118.06008000000001
5,Arabic world,1880,0.9932225379190145,0.8200492824460638,1277.379678708767,112.44643102864296
14,France,1810,1.0055569748670692,1.0377625887414994,8531.215729875083,119.23824
15,France,1820,1.0052832592810719,1.0825804192110295,12611.867746251417,119.08316
16,France,1830,1.0045957953229536,1.0796610279794348,12294.782460304881,118.69455
17,France,1850,1.0086072463269495,1.1477970794514742,22275.01448689399,120.980169
18,France,1870,1.0095209946977937,1.144091186779578,21566.526049198073,121.506923
19,France,1880,1.0096958257618265,1.1898045420426158,32132.232209098434,121.60797
20,German world,1810,1.0012265238763647,1.1912720932641514,32546.17333547814,116.80822712735404
21,German world,1820,1.0003131145015445,1.2305433572882656,45841.43494174881,116.30203026330531
22,German world,1830,1.0035869980679206,1.2379219570385276,48888.65613106463,118.12659122584094
23,German world,1840,1.0050136167014045,1.293109348456387,79114.51000715444,118.93058487453457
24,German world,1850,1.0056616754751644,1.272226676062986,65940.65534127453,119.29761397781661
25,German world,1860,1.0067572340470856,1.3004384519570713,84337.07764713101,119.92066306148057
26,German world,1870,1.0072274398416983,1.289130262640131,76415.85822383554,120.18906820990821
27,German world,1880,1.0077405917373234,1.3358566194060144,114863.33305003389,120.48267365640677
28,Greek World,1810,0.9963199544643195,0.5885482917916856,169.59060199601404,114.11471695176729
29,Greek World,1820,0.9997322007247345,0.655415819825596,303.87418184958034,115.98123893915067
30,Greek World,1830,0.9981858078755415,0.6728612271261353,353.81516046087916,115.13159839202424
31,Greek World,1840,0.9879596031556337,0.7452968743798063,665.518776795475,109.66752123398736
32,Greek World,1850,1.004016630795357,0.8056232458730936,1126.3533256120695,118.36814396508062
33,Greek World,1860,0.9781027859326669,0.8012231458756991,1083.9449091858255,104.64639795440753
34,Greek World,1870,0.9952744955703464,0.7793438075481547,895.6307341231095,113.54887786934914
35,Greek World,1880,0.9878683468589409,0.8518580319939401,1685.8173194817007,109.61994720510111
36,Indian world,1830,1.0029146225220376,0.5164667348399828,90.43971583946113,117.74955
37,Indian world,1840,0.9970830307720443,0.5681039215997838,141.8924124523527,114.5295
38,Indian world,1850,1.0017853943516664,0.5976626130770728,183.62276989432584,117.11903
39,Indian world,1860,0.9987681588790817,0.5991697538264205,186.05251044957333,115.45082864435938
40,Indian world,1870,0.9985290397525262,0.6793408654356392,374.3872903678098,115.31964255377542
41,Indian world,1880,1.0006188478216764,0.7153747203291446,512.6443402543439,116.47121806502935
42,Italy,1810,0.9855157841658385,1.0711824552792082,11418.374721700266,108.40060000000001
43,Italy,1820,0.9945568542260594,1.0993039483830624,14592.42911455505,113.16208999999999
44,Italy,1830,0.9925001135787236,1.0812599959866402,12467.45150698765,112.06085
45,Italy,1840,0.9855625376309637,1.1579807399886957,24344.0801919715,108.4247
46,Italy,1850,1.005199050290445,1.1460886679593323,21945.555982385835,119.03549
47,Italy,1860,1.0053754318524728,1.1881621061540122,31675.202724611867,119.13536
48,Italy,1870,1.0068966963108565,1.1544551837595218,23606.884634733393,120.000209
49,Japan,1860,1.0093847258343898,0.7612888506768469,765.1338203312772,121.428222
50,Japan,1870,1.0087159079666332,0.7725188522175419,843.8714217938596,121.04269000000001
51,Japan,1880,1.0055638713997703,0.8145756240287526,1217.8280219789465,119.24214999999998
52,Low countries,1810,1.0084949767347289,0.8800679680213694,2156.0996606099193,120.915606
53,Low countries,1820,1.0088387372547831,0.9157789789499718,2944.0215102204916,121.1134015904283
54,Low countries,1830,1.0075373796986806,0.9346813063771496,3471.701524492682,120.36631799592668
55,Low countries,1840,1.0073400522862406,1.0089488527965047,6635.374352787361,120.25343930663222
56,Low countries,1850,1.0075599127924937,1.0225550517193889,7471.456438088207,120.37921451026898
57,Low countries,1860,1.0070511722991249,1.0507267303503078,9552.535730281414,120.08838
58,Low countries,1870,1.0086609715176684,1.034647561034213,8302.546192449914,121.01107700000001
59,Low countries,1880,1.0083003858410422,1.0780511213579018,12123.348090398833,120.80378400000001
60,Nordic countries,1810,1.0091710433730425,0.9697395898576407,4713.483785134753,121.30491401770634
61,Nordic countries,1820,1.0083445621662168,0.9948197397339265,5866.037151638668,120.82916092614602
62,Nordic countries,1830,1.0081857025469017,0.9866167116017379,5460.997849306194,120.73792948199488
63,Nordic countries,1840,1.00724822573951,1.0457221927812401,9144.535396276244,120.200947172019
64,Nordic countries,1850,1.0089331129503414,1.0551802581199479,9930.897264015694,121.16776079474263
65,Nordic countries,1860,1.0086478039026523,1.0858012571652533,12971.190490372064,121.00350096571107
66,Nordic countries,1870,1.0093283766400984,1.0858967057511046,12981.993681392483,121.39569286992977
67,Nordic countries,1880,1.00901441620289,1.1342224474512823,19787.809958965903,121.21461000000001
79,Persian world,1880,0.9852789472653641,0.7492213842777168,688.6938882316256,108.2786
80,Portugal,1860,0.9884309993145278,0.8271333734473281,1358.7961545030248,109.9136
81,Portugal,1870,0.9892718242001878,0.7903749142771042,986.0852478275981,110.3539
82,Portugal,1880,0.9987331086936586,0.880744132841635,2168.853020232981,115.43158999999999
