,region_name,year,log_gdp_std,N_est_log_std
0,Arabic world,1000,0.9391308938748064,0.4438831790603851
1,Arabic world,1120,0.939685527900812,0.5588414295973938
2,Arabic world,1280,0.9406185320973848,0.7021992991368595
3,Arabic world,1300,0.9279141951880392,0.6224606894100781
4,Arabic world,1400,0.952228609202614,0.6225046861317186
5,Arabic world,1500,0.9426242772923764,0.6218363856533445
6,Arabic world,1820,0.9070119925023364,0.8115422855551606
7,Arabic world,1870,0.9435857980964631,1.0380085912164396
8,Chinese world,1000,0.959130055873446,0.2824491395274592
9,Chinese world,1090,0.9587556382037632,0.2824777424268052
10,Chinese world,1120,0.9541796331519996,0.4470930345419312
11,Chinese world,1400,0.977537971326209,0.7442701531708084
12,Chinese world,1410,0.9784716461069204,0.5888333513400541
13,Chinese world,1420,0.9782807276335844,0.4888274515410998
14,Chinese world,1430,0.9862555678319604,0.6746705508644567
15,Chinese world,1440,0.9826049017252816,0.6585584863826871
16,Chinese world,1450,0.9747363728203342,0.3873645206977816
17,Chinese world,1460,0.9696009929797752,0.6772603010018269
18,Chinese world,1470,0.9713218613055802,0.6098745270825956
19,Chinese world,1480,0.9609772631312202,0.6350101741767169
20,Chinese world,1490,0.955094927831834,0.5221921188556534
21,Chinese world,1500,0.9571526651674476,0.6867505057077213
22,Chinese world,1510,0.9644085166171014,0.6096202251158298
23,Chinese world,1520,0.9524601695665968,0.7862737903846063
24,Chinese world,1530,0.9548678505410096,0.7887254891454717
25,Chinese world,1540,0.9555479387661076,0.7600945514631661
26,Chinese world,1550,0.9557738749644834,0.7870178000147551
27,Chinese world,1560,0.9563370652561464,0.6835259636911647
28,Chinese world,1570,0.9605249377862806,0.741667247268959
29,Chinese world,1580,0.9582345114742048,0.7201606652339074
30,Chinese world,1590,0.9582345114742048,0.6182414251050509
31,Chinese world,1600,0.9582861498115912,0.7263586640036849
32,Chinese world,1610,0.9652528629040852,0.7407526250107882
33,Chinese world,1620,0.96313200350405,0.8915112870254457
34,Chinese world,1660,0.9702108683770068,1.0677743834249422
35,Chinese world,1680,0.965042271325175,0.9735317272489202
36,Chinese world,1690,0.9783762206491784,0.8557629449050017
37,Chinese world,1700,0.9902157331106284,0.9546728911700972
38,Chinese world,1710,0.9777063454502528,0.8608899620200606
39,Chinese world,1720,0.9608686172301448,0.735338732015751
40,Chinese world,1730,0.9601056356787622,0.8623301045735865
41,Chinese world,1740,0.951531533341642,0.848610385701047
42,Chinese world,1750,0.9397633302821706,0.7731550771029969
43,Chinese world,1760,0.934680100892018,0.8826498075194841
44,Chinese world,1770,0.931000917506032,0.9166649714955222
45,Chinese world,1780,0.929157373379007,0.9281773285267512
46,Chinese world,1790,0.9255342414454752,0.9124595049794368
47,Chinese world,1800,0.921412534422106,1.0093098400998362
48,Chinese world,1810,0.917683179212502,0.8682900323940415
49,Chinese world,1820,0.9148754366107528,0.8890527277377294
50,Chinese world,1830,0.9091873969744424,0.9715789766290334
51,Chinese world,1840,0.9096648625310372,0.9454537640111448
52,Chinese world,1850,0.9110872013228848,0.941199980940286
53,Chinese world,1870,0.924135760233569,0.9500457565127935
54,France,1280,0.969863771630225,1.0015412430994342
55,France,1290,0.9599147093132469,0.6757902104767839
56,France,1300,0.9708702205201328,0.8650662115041282
57,France,1310,0.9768977010691824,0.4763451142295729
58,France,1320,0.9594116571071352,0.7531823031425772
59,France,1330,0.9771998833662524,0.5658105175591083
60,France,1340,0.9879656849446452,1.0004184631589244
61,France,1350,0.9761648585717372,0.5379993874807218
62,France,1360,1.00152309385251,0.7171394556976328
63,France,1370,1.0047101996662609,0.4644711519357091
64,France,1380,1.0034159883790454,1.0020107039249633
65,France,1390,0.9942249746137204,0.4691199580485672
66,France,1400,0.9957426224940368,0.9408678700952624
67,France,1410,0.9957608575086324,0.790834484119876
68,France,1420,0.9954476100734164,0.9251906698515726
69,France,1430,0.9902091700975356,0.8568503646676023
70,France,1440,0.9827102247443016,1.081046767073443
71,France,1450,0.9987384247102784,0.7196516582329423
72,France,1460,0.9843284177829514,0.9201976855858934
73,France,1470,1.001266598586883,0.6134626184376655
74,France,1480,0.9835854040606138,1.0366742105448865
75,France,1490,0.983706291542908,0.8092834069220668
76,France,1500,0.9896848487868576,1.107864710355002
77,France,1510,0.9873060381762644,0.9430322352684896
78,France,1520,0.9759751954961547,1.1324218789046272
79,France,1530,0.9750314171514388,1.03561602827121
80,France,1540,0.9871329619055188,1.311840527405612
81,France,1550,0.9786628903737076,1.060307640042035
82,France,1560,0.9685405547451308,1.2111389365115488
83,France,1570,0.9667139156057776,1.12333406792392
84,France,1580,0.9743138867180632,1.2307410969946122
85,France,1590,0.9658652246118952,1.0974031825913886
86,France,1600,0.988973035317586,1.2438721813542006
87,France,1610,0.9942833012064052,1.1546391167757293
88,France,1620,0.9979508169973464,1.2677468995245438
89,France,1630,0.984292759963314,1.2122572730766987
90,France,1640,0.9855791821981484,1.3462332011034217
91,France,1650,0.9967318748210838,1.2242727255427222
92,France,1660,1.0149768067321343,1.264420660371262
93,France,1670,1.0300995142503535,1.2405015103942385
94,France,1680,1.0136857265039747,1.3845622746182251
95,France,1690,1.0069302383908316,1.2754953349533242
96,France,1700,1.0065589995484006,1.348743420257135
97,France,1710,1.0019675008649256,1.301612611362529
98,France,1720,1.0213823487106064,1.3514481472460222
99,France,1730,1.018441291348629,1.2980390440744745
100,France,1740,1.0142323785647802,1.3978786677237036
101,France,1750,1.0096164029710053,1.3267981729616325
102,France,1760,1.0184227884732604,1.3949800702728363
