,region_name,year,log_life_expectancy_std,N_est_log_std,N_est,life_expectancy_weighted
0,France,1820,1.0088472142050287,1.0784198111524066,12611.867746251417,39.012
1,France,1830,1.00247027921206,1.0755116398195546,12294.782460304881,38.11888888888889
2,France,1840,1.0211618837474465,1.1440128546484303,22397.642731202577,40.79636363636364
3,France,1850,1.017487354253918,1.1433858286162615,22275.01448689399,40.25555555555556
4,France,1860,1.0172315970871197,1.1748686677628595,29344.996514085426,40.21818181818182
5,France,1870,1.0158331821576811,1.1396941785508647,21566.526049198073,40.01444444444444
6,France,1880,1.038693371338315,1.1852318467693939,32132.232209098434,43.47833333333333
7,German world,1870,0.9742046522606111,1.2841758355470712,76415.85822383554,34.4
8,German world,1880,1.019188303449305,1.3307226120683275,114863.33305003389,40.505
9,Greek World,1820,1.0088472142050287,0.6528969045622822,303.87418184958034,39.012
10,Greek World,1830,1.00247027921206,0.6702752651096079,353.81516046087916,38.11888888888889
11,Greek World,1840,1.0211618837474465,0.7424325253424655,665.518776795475,40.79636363636364
12,Greek World,1850,1.017487354253918,0.8025270485749415,1126.3533256120695,40.25555555555556
13,Greek World,1860,1.0172315970871197,0.7981438591840785,1083.9449091858255,40.21818181818182
14,Greek World,1870,1.003913362294268,0.7763486082367853,895.6307341231095,38.31919061192397
15,Greek World,1880,1.009832939926871,0.8485841436713528,1685.8173194817007,39.151909264799066
16,Italy,1870,0.9457563060454982,1.150018344282627,23606.884634733393,31.02333333333333
17,Italy,1880,0.9667951940743702,1.1856405591921335,32247.42632267353,33.486666666666665
18,Japan,1860,0.9899607008215072,0.7583630407593035,765.1338203312772,36.42584
19,Japan,1870,0.9912186973323275,0.7695498827950976,843.8714217938596,36.59264
20,Japan,1880,0.9936558293448611,0.811445020661511,1217.8280219789465,36.917959999999994
21,Low countries,1840,1.018746082975488,1.0050712279538692,6635.374352787361,40.440000000000005
22,Low countries,1850,1.0062242527217942,1.018625135093269,7471.456438088207,38.64213961414496
23,Low countries,1860,1.00682582301445,1.0466885434182995,9552.535730281414,38.7266551632101
24,Low countries,1870,1.0105038703548763,1.0306711700854363,8302.546192449914,39.24742484642016
25,Low countries,1880,1.0309892323718517,1.0739079204431854,12123.348090398833,42.27869570111502
26,Nordic countries,1750,0.9994824768377537,0.8951834601836238,2535.17660331315,37.707499999999996
27,Nordic countries,1760,0.9823489991733803,0.9323646930549235,3510.6933191942417,35.432685126220115
28,Nordic countries,1770,0.9691604477194694,0.890965609419505,2443.2589378513994,33.775555555555556
29,Nordic countries,1780,0.989863517480201,0.9490945839474848,4064.523784592538,36.41298596919676
30,Nordic countries,1790,0.9981017321158222,0.9688929340178261,4833.864945461015,37.51888888888889
31,Nordic countries,1800,1.0052048687550503,0.9698766977539357,4875.681796385602,38.499345641589855
32,Nordic countries,1810,0.9731264011834972,0.9660126553216661,4713.483785134753,34.26555555555555
33,Nordic countries,1820,1.0232231061571522,0.9909964163552987,5866.037151638668,41.10290382599814
34,Nordic countries,1830,1.0166805669534809,0.9828249143659686,5460.997849306194,40.13777777777778
35,Nordic countries,1840,1.0329197420362306,1.0417032394497754,9144.535396276244,42.5761576818755
36,Nordic countries,1850,1.0403033822288899,1.0511249552460669,9930.897264015694,43.73330186499292
37,Nordic countries,1860,1.0453226852372777,1.0816282706780997,12971.190490372064,44.537817707193035
38,Nordic countries,1870,1.0572670462246812,1.0817233524328607,12981.993681392483,46.51233100337455
39,Nordic countries,1880,1.0563110981058665,1.129863367080536,19787.809958965903,46.351131634527825
83,United Kingdom,1540,0.9704978037388912,0.782947144963685,948.9000358909852,33.94
84,United Kingdom,1550,1.0102060671462825,0.6952247401789734,440.1988001500304,39.205
85,United Kingdom,1560,0.93207921737571,0.7568726128532314,755.2138138370542,29.519999999999996
86,United Kingdom,1570,1.0182349444962695,0.733696816133838,616.5127539013727,40.365
87,United Kingdom,1580,1.0300191087138244,0.8249541636685195,1370.7415661637028,42.13
88,United Kingdom,1590,0.998329961197039,0.7903522412769457,1012.462499928414,37.55
89,United Kingdom,1600,1.002875297485002,0.9055432599672346,2775.8896841512083,38.175
90,United Kingdom,1610,1.002983468855352,0.8480679225567466,1678.214767505515,38.19
91,United Kingdom,1620,0.9931484869641346,0.8438522285096387,1617.3984308843835,36.85
92,United Kingdom,1630,1.013695534955129,0.788197053112615,993.5361361490839,39.705
93,United Kingdom,1640,0.9803391904393066,0.8845369975551434,2309.533012930569,35.175
94,United Kingdom,1650,1.0118516261573682,0.8189290335726944,1300.3029061449854,39.44
95,United Kingdom,1660,0.9640544089734092,0.8735587222529777,2097.8690994685658,33.155
96,United Kingdom,1670,0.9785328362563772,0.7904485259785238,1013.3164127854391,34.94499999999999
97,United Kingdom,1680,0.9528676946489791,0.8792698104840638,2205.4400934795344,31.835
98,United Kingdom,1690,0.9877914566187729,0.8026535783708285,1127.6018651058714,36.14
99,United Kingdom,1700,1.003523689196746,0.8684346465252836,2005.8279083349696,38.265
100,United Kingdom,1710,0.999391183371951,0.8502662667931478,1710.8302548924273,37.695
101,United Kingdom,1720,0.9838008038741116,0.9168644792104425,3065.1523374788585,35.620000000000005
102,United Kingdom,1730,0.9441242885426638,0.8793929130380145,2207.818524950038,30.840000000000003
103,United Kingdom,1740,0.977110855200702,0.9313947596364572,3481.004957350868,34.765
104,United Kingdom,1750,1.0024783051603134,0.9002939320642454,2651.1921482898742,38.120000000000005
105,United Kingdom,1760,0.9923627870474527,0.9505976792697659,4118.369529249343,36.745
106,United Kingdom,1770,0.9989891321401636,0.9496300900649326,4083.626138883562,37.64
