,region_name,decade,n_new_cultural_producers,score,pop (millions),n_new_cultural_producers_per_million_hab
91,Arabic world,1210,75.1,7,2.1311999999999998,35.23836336336336
92,Arabic world,1220,121.8,19,2.1184000000000003,57.496223564954676
93,Arabic world,1230,124.0,14,2.1056,58.890577507598785
94,Arabic world,1240,140.2,21,2.0928,66.99159021406727
95,Arabic world,1250,122.7,13,2.08,58.99038461538461
96,Arabic world,1260,90.7,13,2.0671999999999997,43.87577399380806
97,Arabic world,1270,42.8,6,2.0544000000000002,20.83333333333333
98,Arabic world,1280,80.7,11,2.0416,39.52782131661442
99,Arabic world,1290,14.9,2,2.0288,7.344242902208202
100,Arabic world,1300,49.0,7,2.016,24.305555555555557
101,Arabic world,1310,23.5,3,2.0032,11.731230031948881
102,Arabic world,1320,117.8,13,1.9904000000000002,59.18408360128617
103,Arabic world,1330,49.4,6,1.9775999999999998,24.97977346278317
104,Arabic world,1340,101.3,12,1.9647999999999999,51.55741042345277
105,Arabic world,1350,34.6,4,1.952,17.725409836065573
106,Arabic world,1360,44.4,5,1.9392,22.896039603960396
107,Arabic world,1370,27.3,3,1.9264000000000001,14.171511627906977
108,Arabic world,1380,37.3,4,1.9136,19.49205685618729
109,Arabic world,1390,19.1,2,1.9008,10.048400673400675
110,Arabic world,1400,49.0,5,1.888,25.953389830508478
111,Arabic world,1410,60.3,6,1.8752,32.156569965870304
112,Arabic world,1420,92.6,9,1.8624,49.72079037800687
113,Arabic world,1430,21.1,2,1.8496,11.40787197231834
114,Arabic world,1440,107.8,10,1.8368,58.6890243902439
115,Arabic world,1450,11.0,1,1.824,6.030701754385965
116,Arabic world,1460,45.1,4,1.8112000000000001,24.900618374558302
117,Arabic world,1470,92.1,8,1.7984,51.21218861209964
118,Arabic world,1480,131.2,6,1.7855999999999999,73.47670250896057
119,Arabic world,1490,24.0,2,1.7728,13.537906137184116
120,Arabic world,1500,48.8,4,1.7698,27.57373714544016
121,Arabic world,1510,12.4,1,1.819,6.816932380428807
122,Arabic world,1520,61.3,4,1.878,32.64110756123536
123,Arabic world,1530,38.5,3,1.937,19.87609705730511
124,Arabic world,1540,65.1,5,1.996,32.61523046092184
125,Arabic world,1550,52.8,4,2.055,25.693430656934304
126,Arabic world,1560,66.8,5,2.114,31.598864711447494
127,Arabic world,1570,54.0,4,2.173,24.850437183617117
128,Arabic world,1580,95.4,7,2.232,42.74193548387097
129,Arabic world,1590,55.0,4,2.291,24.00698384984723
130,Arabic world,1600,69.1,5,2.3366,29.57288367713772
131,Arabic world,1610,27.8,2,2.311,12.029424491562095
132,Arabic world,1620,111.6,8,2.272,49.11971830985916
133,Arabic world,1630,55.9,4,2.233,25.03358710255262
134,Arabic world,1640,41.9,3,2.194,19.0975387420237
135,Arabic world,1650,41.9,3,2.155,19.443155452436194
136,Arabic world,1660,125.6,9,2.116,59.357277882797725
137,Arabic world,1670,156.1,6,2.077,75.1564756860857
138,Arabic world,1680,69.4,5,2.038,34.05299313052012
139,Arabic world,1690,41.4,3,1.999,20.71035517758879
140,Arabic world,1700,55.0,4,1.9693,27.928705631442643
141,Arabic world,1710,41.0,3,1.989,20.613373554550023
142,Arabic world,1720,54.3,4,2.018,26.90782953419227
143,Arabic world,1730,94.4,7,2.047,46.11626770884221
144,Arabic world,1740,136.7,5,2.076,65.84778420038535
145,Arabic world,1750,79.8,6,2.105,37.909738717339664
146,Arabic world,1760,57.8,5,2.134,27.085285848172447
147,Arabic world,1770,104.9,8,2.163,48.49745723532132
148,Arabic world,1780,148.1,12,2.192,67.56386861313868
149,Arabic world,1790,90.4,7,2.221,40.70238631247186
150,Arabic world,1800,133.2,11,2.25,59.199999999999996
151,Arabic world,1810,206.5,11,2.279,90.60991663010093
152,Arabic world,1820,159.9,13,1.8186,87.92477730122073
153,Arabic world,1830,189.7,15,1.7173,110.46410062307109
154,Arabic world,1840,408.3,28,1.8493,220.7862434434651
155,Arabic world,1850,660.2,33,1.9813,333.2155655377782
156,Arabic world,1860,835.6,51,2.1133,395.4005583684285
157,Arabic world,1870,658.7,45,2.2306,295.30171254371027
158,Arabic world,1880,1277.4,75,2.2453000000000003,568.921747650648
159,Central Europe,840,11.5,1,0.7739,14.859801007882155
160,Central Europe,850,11.3,1,0.7787000000000001,14.511365095672273
161,Central Europe,960,9.4,1,0.831,11.311672683513839
162,Central Europe,1040,8.8,1,0.992,8.870967741935484
163,Central Europe,1080,8.9,1,1.134,7.848324514991183
164,Central Europe,1180,10.1,1,1.489,6.783075889858965
165,Central Europe,1200,10.4,1,1.56,6.666666666666667
166,Central Europe,1240,34.0,3,1.702,19.976498237367803
167,Central Europe,1260,11.9,1,1.773,6.711787930062043
168,Central Europe,1270,12.1,1,1.8085,6.6906275919270115
169,Central Europe,1280,24.9,2,1.844,13.503253796095443
170,Central Europe,1290,79.0,1,1.8795,42.03245544027667
171,Central Europe,1300,52.3,4,1.915,27.31070496083551
172,Central Europe,1310,26.8,2,1.9505,13.740066649577033
173,Central Europe,1320,92.4,2,1.986,46.52567975830816
174,Central Europe,1340,7.3,1,2.057,3.5488575595527467
175,Central Europe,1360,51.4,4,2.128,24.154135338345863
176,Central Europe,1370,44.7,2,2.1635,20.66096602727063
177,Central Europe,1380,358.4,15,2.199,162.98317417007732
178,Central Europe,1390,32.9,2,2.2345,14.723651823674198
179,Central Europe,1400,322.7,13,2.27,142.15859030837004
180,Central Europe,1410,41.1,3,2.3055,17.82693558880937
181,Central Europe,1420,106.4,6,2.341,45.45066211020931
182,Central Europe,1430,252.7,4,2.3765,106.33284241531663
183,Central Europe,1440,486.5,16,2.412,201.69983416252074
184,Central Europe,1450,19.0,1,2.4475,7.763023493360572
185,Central Europe,1460,114.2,5,2.483,45.99275070479259
186,Central Europe,1470,156.5,7,2.5185,62.14016279531467
187,Central Europe,1480,700.3,31,2.554,274.19733750978855
188,Central Europe,1490,121.7,5,2.5895,46.9974898629079
189,Central Europe,1500,365.3,12,2.627,139.05595736581654
190,Central Europe,1510,286.0,8,2.675,106.9158878504673
191,Central Europe,1520,1336.8,36,2.725,490.5688073394495
192,Central Europe,1530,658.1,20,2.775,237.15315315315317
193,Central Europe,1540,2027.5,63,2.825,717.6991150442477
194,Central Europe,1550,343.2,15,2.875,119.37391304347825
195,Central Europe,1560,2492.0,72,2.925,851.965811965812
196,Central Europe,1570,2039.4,54,2.975,685.5126050420168
197,Central Europe,1580,4440.2,93,3.025,1467.8347107438017
198,Central Europe,1590,946.9,30,3.075,307.9349593495935
199,Central Europe,1600,3438.2,81,3.1267,1099.6258035628616
200,Central Europe,1610,1827.1,49,3.1875,573.2078431372548
201,Central Europe,1620,3584.4,69,3.25,1102.8923076923077
202,Central Europe,1630,1661.8,50,3.3125,501.6754716981132
203,Central Europe,1640,3366.5,78,3.375,997.4814814814815
204,Central Europe,1650,2371.2,40,3.4375,689.8036363636363
205,Central Europe,1660,2758.0,85,3.5,788.0
206,Central Europe,1670,1983.2,53,3.5625,556.6877192982456
207,Central Europe,1680,4918.8,111,3.625,1356.9103448275862
208,Central Europe,1690,2315.5,70,3.6875,627.9322033898305
209,Central Europe,1700,2945.1,90,3.7817,778.7767406192982
210,Central Europe,1710,2160.4,76,4.0447,534.1310851237422
211,Central Europe,1720,3781.5,111,4.339300000000001,871.4539211393542
212,Central Europe,1730,3796.0,100,4.634,819.162710401381
213,Central Europe,1740,6321.8,144,4.9287,1282.6505975206444
214,Central Europe,1750,6757.5,142,5.2233,1293.7223594279478
215,Central Europe,1760,6535.2,168,5.518,1184.342152953969
216,Central Europe,1770,7683.0,174,5.8126999999999995,1321.7609716654913
217,Central Europe,1780,9022.5,212,6.1073,1477.330407872546
218,Central Europe,1790,10934.4,223,6.402,1707.9662605435801
219,Central Europe,1800,12347.7,298,6.6967,1843.8484626756463
220,Central Europe,1810,9967.1,243,6.9913,1425.6432995294151
221,Central Europe,1820,14913.7,394,7.3274,2035.3331331713841
222,Central Europe,1830,15789.3,410,7.8842,2002.6508713629792
223,Central Europe,1840,28031.9,680,8.482299999999999,3304.752248800444
224,Central Europe,1850,28454.9,685,9.1424,3112.410308015401
225,Central Europe,1860,36453.5,900,10.2358,3561.3728286992714
226,Central Europe,1870,33555.6,819,11.4486,2930.978460248414
227,Central Europe,1880,57791.6,1404,13.0645,4423.560029086455
228,Chinese world,0,4.5,1,59.598800000000004,0.0755048759370994
229,Chinese world,60,4.4,1,59.5646,0.07386937879210136
230,Chinese world,70,4.3,1,59.5586,0.07219780182878711
231,Chinese world,100,4.1,1,59.5405,0.06886069146211402
232,Chinese world,110,4.1,1,59.5345,0.06886763137340533
233,Chinese world,140,37.1,5,59.5165,0.623356548184117
234,Chinese world,160,7.4,2,59.5045,0.12436034249510541
235,Chinese world,170,3.6,1,59.4985,0.06050572703513534
236,Chinese world,180,3.6,1,59.4925,0.06051182922217086
237,Chinese world,190,3.5,1,59.4865,0.05883687895572945
238,Chinese world,200,17.1,5,59.4805,0.2874891771252764
239,Chinese world,210,21.6,2,59.4745,0.3631808590236152
240,Chinese world,220,9.8,3,59.4685,0.1647931257724678
241,Chinese world,230,6.4,2,59.4625,0.10763085978557915
242,Chinese world,240,6.3,2,59.4565,0.10595981936373651
243,Chinese world,250,3.1,1,59.4505,0.05214422082236483
244,Chinese world,260,12.1,4,59.4444,0.20355155405723666
245,Chinese world,270,8.9,3,59.4384,0.14973485154378316
246,Chinese world,280,8.8,3,59.4324,0.1480673841204461
247,Chinese world,290,5.8,2,59.4264,0.09759971998976885
248,Chinese world,300,5.7,2,59.4204,0.09592665145303633
249,Chinese world,310,1.5,1,59.4144,0.02524640491194054
250,Chinese world,320,2.8,1,59.4084,0.04713138209411463
251,Chinese world,330,2.7,1,59.4024,0.0454527089814553
252,Chinese world,340,2.7,1,59.3964,0.04545730044245106
253,Chinese world,350,5.4,2,59.3904,0.09092378566232927
254,Chinese world,360,6.8,3,59.3844,0.11450818733539447
255,Chinese world,370,2.7,1,59.3784,0.045471080392870136
256,Chinese world,380,13.4,5,59.3724,0.22569409355188608
257,Chinese world,390,8.1,3,59.3664,0.1364408150064683
258,Chinese world,400,2.7,1,59.3604,0.04548486870034569
259,Chinese world,410,6.9,3,59.3544,0.11625085924548138
260,Chinese world,460,2.9,1,59.3243,0.048883846922761834
261,Chinese world,470,3.0,1,59.3183,0.05057461188199931
262,Chinese world,480,10.8,4,59.3123,0.1820870207360025
263,Chinese world,500,9.7,3,59.3003,0.16357421463297825
264,Chinese world,520,6.8,2,59.2883,0.11469379287313011
265,Chinese world,530,3.5,1,59.282300000000006,0.05903954468703137
266,Chinese world,540,27.2,3,59.276300000000006,0.4588680467573043
267,Chinese world,560,3.8,1,59.264300000000006,0.06411954583113273
268,Chinese world,570,4.0,1,59.258300000000006,0.06750109267393765
269,Chinese world,580,14.1,4,59.252300000000005,0.23796544606707248
270,Chinese world,600,4.3,1,59.240199999999994,0.07258584542253403
271,Chinese world,610,4.4,1,59.234199999999994,0.07428141175199464
272,Chinese world,620,4.6,1,59.228199999999994,0.07766570653843946
273,Chinese world,640,9.6,2,59.2162,0.16211779884558616
274,Chinese world,670,10.2,2,59.1982,0.1723025362257636
275,Chinese world,680,5.2,1,59.1922,0.08784941259152389
276,Chinese world,700,5.3,1,59.1802,0.08955698020621762
277,Chinese world,720,18.6,4,59.1682,0.31435805043925624
278,Chinese world,730,10.9,2,59.1622,0.1842392608794129
279,Chinese world,740,21.8,4,59.1562,0.3685158952062506
280,Chinese world,750,5.4,1,59.1502,0.0912930133794983
281,Chinese world,760,16.3,3,59.1441,0.27559807318058777
282,Chinese world,770,10.8,2,59.1381,0.18262338492443958
283,Chinese world,780,44.5,4,59.1321,0.7525523362099434
284,Chinese world,790,16.0,3,59.1261,0.2706080732536054
285,Chinese world,800,10.5,2,59.1201,0.17760457103421678
286,Chinese world,810,5.2,1,59.1141,0.08796547693359114
287,Chinese world,820,10.3,2,59.1081,0.17425699692597124
288,Chinese world,840,25.0,5,59.0961,0.423039760661025
289,Chinese world,850,4.9,1,59.0901,0.08292421234690753
290,Chinese world,880,6.8,2,59.0721,0.1151135646100274
291,Chinese world,900,13.6,3,59.0601,0.23027390742650283
292,Chinese world,910,13.4,3,59.0541,0.22691057860504182
293,Chinese world,920,15.2,4,59.048,0.257417694079393
294,Chinese world,930,6.3,2,59.042,0.10670370244910402
295,Chinese world,940,1.9,1,59.036,0.032183752286740294
296,Chinese world,950,16.8,4,59.03,0.2846010503134
297,Chinese world,960,8.3,2,59.024,0.1406207644348062
298,Chinese world,970,6.0,2,59.018,0.10166389914941204
299,Chinese world,980,13.8,5,59.012,0.23385074222192098
300,Chinese world,990,8.0,2,59.006,0.13557943260007457
301,Chinese world,1000,5.8,2,59.1208,0.09810422051122447
302,Chinese world,1020,5.8,2,60.76,0.09545753785385122
303,Chinese world,1040,11.5,4,62.52,0.18394113883557262
304,Chinese world,1050,7.9,2,63.4,0.12460567823343849
305,Chinese world,1060,13.7,4,64.28,0.2131300560049782
306,Chinese world,1070,6.9,1,65.16,0.10589318600368325
307,Chinese world,1080,11.9,3,66.04,0.1801938219261054
308,Chinese world,1090,5.8,2,66.92,0.086670651524208
309,Chinese world,1100,1.9,1,67.8,0.028023598820058997
310,Chinese world,1120,16.4,4,69.56,0.23576768257619318
311,Chinese world,1130,1.9,1,70.44,0.026973310618966496
312,Chinese world,1140,8.4,2,71.32,0.11777902411665733
313,Chinese world,1150,8.5,2,72.2,0.11772853185595568
314,Chinese world,1170,8.7,2,73.96,0.11763115197404002
315,Chinese world,1180,12.4,5,74.84,0.16568679850347406
316,Chinese world,1200,9.2,2,76.6,0.12010443864229765
317,Chinese world,1210,6.7,2,77.48,0.08647392875580795
318,Chinese world,1230,16.7,4,79.24,0.21075214538112066
319,Chinese world,1240,24.7,5,80.12,0.30828756864702944
320,Chinese world,1260,33.2,7,81.88,0.40547142159257454
321,Chinese world,1270,47.4,9,82.76,0.5727404543257612
