,region_name,decade,N_est,N_est_min,N_est_max,score,f>3
0,Arabic world,-610,4.737324936856237,3.765353640138728,6.537569118514424,1.0,0.0
1,Arabic world,-520,4.737324936856237,3.765353640138728,6.537569118514424,1.0,0.0
2,Arabic world,-400,4.971878469630532,3.8048728178642577,6.347933269589515,1.0,0.0
3,Arabic world,-360,15.915635408891596,12.414618453592773,20.043799808768547,4.0,1.0
4,Arabic world,-330,4.971878469630532,3.8048728178642577,6.347933269589515,1.0,0.0
5,Arabic world,-310,4.971878469630532,3.8048728178642577,6.347933269589515,1.0,0.0
6,Arabic world,-300,29.831270817783192,22.829236907185546,38.087599617537094,6.0,0.0
7,Arabic world,-280,4.971878469630532,3.8048728178642577,6.347933269589515,1.0,0.0
8,Arabic world,-270,19.887513878522128,15.21949127145703,25.39173307835806,4.0,0.0
9,Arabic world,-260,16.915635408891596,13.414618453592773,21.043799808768547,5.0,2.0
10,Arabic world,-250,4.971878469630532,3.8048728178642577,6.347933269589515,1.0,0.0
11,Arabic world,-240,10.943756939261064,8.609745635728515,13.69586653917903,3.0,1.0
12,Arabic world,-230,4.971878469630532,3.8048728178642577,6.347933269589515,1.0,0.0
13,Arabic world,-220,9.943756939261064,7.609745635728515,12.69586653917903,2.0,0.0
14,Arabic world,-200,9.943756939261064,7.609745635728515,12.69586653917903,2.0,0.0
15,Arabic world,-170,4.971878469630532,3.8048728178642577,6.347933269589515,1.0,0.0
16,Arabic world,-160,9.943756939261064,7.609745635728515,12.69586653917903,2.0,0.0
17,Arabic world,-130,6.006037029588248,5.085906312958802,9.8338069392449,1.0,0.0
18,Arabic world,-120,18.018111088764744,15.257718938876405,29.501420817734697,3.0,0.0
19,Arabic world,-100,12.012074059176497,10.171812625917603,19.6676138784898,2.0,0.0
20,Arabic world,-90,12.012074059176497,10.171812625917603,19.6676138784898,2.0,0.0
21,Arabic world,-60,12.012074059176497,10.171812625917603,19.6676138784898,2.0,0.0
22,Arabic world,-50,12.012074059176497,10.171812625917603,19.6676138784898,2.0,0.0
23,Arabic world,-40,12.012074059176497,10.171812625917603,19.6676138784898,2.0,0.0
24,Arabic world,-20,6.006037029588248,5.085906312958802,9.8338069392449,1.0,0.0
25,Arabic world,-10,6.006037029588248,5.085906312958802,9.8338069392449,1.0,0.0
26,Arabic world,40,12.012074059176497,10.171812625917603,19.6676138784898,2.0,0.0
27,Arabic world,50,6.006037029588248,5.085906312958802,9.8338069392449,1.0,0.0
28,Arabic world,60,6.006037029588248,5.085906312958802,9.8338069392449,1.0,0.0
29,Arabic world,70,6.006037029588248,5.085906312958802,9.8338069392449,1.0,0.0
30,Arabic world,80,12.012074059176497,10.171812625917603,19.6676138784898,2.0,0.0
31,Arabic world,100,24.024148118352993,20.343625251835206,39.3352277569796,4.0,0.0
32,Arabic world,140,61.060370295882485,51.859063129588016,99.338069392449,11.0,1.0
33,Arabic world,170,7.801395828174403,6.681346555012791,9.36190254663229,2.0,0.0
34,Arabic world,200,23.40418748452321,20.044039665038373,28.08570763989687,6.0,0.0
35,Arabic world,210,3.9006979140872016,3.3406732775063954,4.680951273316145,1.0,0.0
36,Arabic world,220,4.900697914087202,4.340673277506395,5.680951273316145,2.0,1.0
37,Arabic world,240,27.30488539861041,23.384712942544766,32.766658913213014,7.0,0.0
38,Arabic world,250,3.9006979140872016,3.3406732775063954,4.680951273316145,1.0,0.0
39,Arabic world,280,27.30488539861041,23.384712942544766,32.766658913213014,7.0,0.0
40,Arabic world,290,3.9006979140872016,3.3406732775063954,4.680951273316145,1.0,0.0
41,Arabic world,300,3.9006979140872016,3.3406732775063954,4.680951273316145,1.0,0.0
42,Arabic world,320,3.9006979140872016,3.3406732775063954,4.680951273316145,1.0,0.0
43,Arabic world,340,19.50348957043601,16.70336638753198,23.404756366580727,5.0,0.0
44,Arabic world,350,3.9006979140872016,3.3406732775063954,4.680951273316145,1.0,0.0
45,Arabic world,370,3.9006979140872016,3.3406732775063954,4.680951273316145,1.0,0.0
46,Arabic world,380,16.602791656348806,14.362693110025582,19.72380509326458,5.0,1.0
47,Arabic world,400,25.40418748452321,22.044039665038373,30.08570763989687,8.0,2.0
48,Arabic world,420,3.9006979140872016,3.3406732775063954,4.680951273316145,1.0,0.0
49,Arabic world,440,27.30488539861041,23.384712942544766,32.766658913213014,7.0,0.0
50,Arabic world,450,5.826786100634987,5.059476641039729,7.83956418408033,1.0,0.0
51,Arabic world,470,5.826786100634987,5.059476641039729,7.83956418408033,1.0,0.0
52,Arabic world,480,30.133930503174934,26.297383205198646,40.19782092040165,6.0,1.0
53,Arabic world,500,11.653572201269974,10.118953282079458,15.67912836816066,2.0,0.0
54,Arabic world,540,23.307144402539947,20.237906564158916,31.35825673632132,4.0,0.0
55,Arabic world,560,13.653572201269974,12.118953282079458,17.67912836816066,4.0,2.0
56,Arabic world,580,13.653572201269974,12.118953282079458,17.67912836816066,4.0,2.0
57,Arabic world,600,18.48035830190496,16.178429923119186,24.51869255224099,4.0,1.0
58,Arabic world,610,12.653572201269974,11.118953282079458,16.67912836816066,3.0,1.0
59,Arabic world,620,34.96071660380992,30.356859846238372,47.03738510448198,6.0,0.0
60,Arabic world,630,40.787502704444904,35.4163364872781,54.87694928856231,7.0,0.0
61,Arabic world,640,44.787502704444904,39.4163364872781,58.87694928856231,11.0,4.0
62,Arabic world,650,11.653572201269974,10.118953282079458,15.67912836816066,2.0,0.0
63,Arabic world,660,24.307144402539947,21.237906564158916,32.35825673632132,5.0,1.0
