,individual_wikidata_id,individual_name,score,productive_year,birthyear,country_name,region_name,period
44,Q55226551,Paolo Stanislao Carcereri,7,1875.0,1840.0,Italy,Italy,1800
45,Q3616930,Angelo Cerutti,10,1832.0,1797.0,Italy,Italy,1750
46,Q15403504,Giovanni Giordani,7,1857.0,1822.0,Italy,Italy,1800
47,Q1441226,Francesco Silvani,24,1695.0,1660.0,Italy,Italy,1650
48,Q97578407,Luigi Preatoni,5,1880.0,1845.0,Italy,Italy,1800
49,Q2055429,Niccolò Barbieri,24,1611.0,1576.0,Italy,Italy,1550
50,Q3339602,Niccolò del Giudice,13,1695.0,1660.0,Italy,Italy,1650
51,Q20006714,Vicent Olcina i Sempere,7,1766.0,1731.0,Italy,Italy,1700
52,Q23418817,Giuseppe Orsoni,13,1726.0,1691.0,Italy,Italy,1650
53,Q61917837,Romeo Orsi,2,1878.0,1843.0,Italy,Italy,1800
54,Q102076085,Gualfardo Bercanovich,9,1841.0,1806.0,Italy,Italy,1800
55,Q30731390,Luigi Sabatelli,6,1853.0,1818.0,Italy,Italy,1800
56,Q3992841,Tommaso Rodari,11,1495.0,1460.0,Italy,Italy,1450
57,Q102279625,Maria Conti,1,1825.0,1790.0,Italy,Italy,1750
58,Q21208786,Filippo Mola,7,1884.0,1849.0,Italy,Italy,1800
59,Q102076228,Eugenio  Marchiò,1,1856.0,1821.0,Italy,Italy,1800
60,Q55226894,Emilio de Amenti,5,1880.0,1845.0,Italy,Italy,1800
61,Q55227443,Giuseppe Andrea Fea,2,1789.0,1754.0,Italy,Italy,1750
62,Q16885518,Raffaele Gioia,2,1792.0,1757.0,Italy,Italy,1750
63,Q3615528,Andrea Biffi,10,1680.0,1645.0,Italy,Italy,1600
64,Q3663098,Casto Innocenzio Ansaldi,38,1745.0,1710.0,Italy,Italy,1700
65,Q3080986,Francesco Lucca,22,1837.0,1802.0,Italy,Italy,1800
66,Q704792,Giacomo Tritto,28,1768.0,1733.0,Italy,Italy,1700
67,Q18945594,Leonardo Amaseo,10,1497.0,1462.0,Italy,Italy,1450
68,Q328132,Antonio Maria Lucchini,22,1725.0,1690.0,Italy,Italy,1650
69,Q3745100,Filippo Arena,20,1743.0,1708.0,Italy,Italy,1700
70,Q16062576,Raimondo Scoppa,11,1855.0,1820.0,Italy,Italy,1800
