,individual_wikidata_id,birthyear,classification,region_name
1326,Q16260501,1646,,China
1327,Q45474931,1829,,China
1328,Q11102161,1271,,China
1329,Q700903,1308,Elite,China
1330,Q11649212,1752,Middle Class,Japan
1331,Q3196280,1735,,Japan
1332,Q3179022,1664,Middle Class,Japan
1333,Q11549210,1787,Middle Class,Japan
1334,Q23008985,1727,Middle Class,Japan
1335,Q2866305,1612,Middle Class,Japan
1336,Q20041499,1655,,Japan
1337,Q2599311,1789,Middle Class,Japan
1338,Q6560872,1814,,Japan
1339,Q11567826,1712,Middle Class,Japan
1340,Q11366221,1662,,Japan
1341,Q11446076,1753,Middle Class,Japan
1342,Q7451164,1622,Middle Class,Japan
1343,Q11551796,1803,,Japan
1344,Q18910627,1824,,Japan
1345,Q11357568,1839,Middle Class,Japan
1346,Q702789,1828,Middle Class,Japan
1347,Q164948,1106,Elite,Japan
1348,Q3178301,1830,Middle Class,Japan
1349,Q2661041,1723,Middle Class,Japan
1350,Q22124811,1660,Middle Class,Japan
1351,Q1960314,1836,Middle Class,Japan
1352,Q23946231,1831,Middle Class,Japan
1353,Q11550934,1842,,Japan
1354,Q6564443,1795,Middle Class,Japan
1355,Q739298,1811,Middle Class,Japan
1356,Q19931413,1844,Middle Class,Japan
1357,Q7402857,1647,Middle Class,Japan
1358,Q6531403,1840,,Japan
1359,Q11385613,1166,Elite,Japan
1360,Q850601,1579,Elite,Japan
1361,Q3016941,1802,Elite,Japan
1362,Q11395355,1823,Elite,Japan
1363,Q11530013,1832,,Japan
1364,Q11545160,1835,Middle Class,Japan
1365,Q11399278,1168,,Japan
1366,Q7449900,1546,Middle Class,Japan
1367,Q287657,1837,Elite,Japan
1368,Q3049506,1725,Middle Class,Japan
1369,Q6912357,1846,Middle Class,Japan
1370,Q6565442,1826,,Japan
1371,Q11515833,1843,,Japan
1372,Q6535524,1824,,Japan
1373,Q17228154,1765,Middle Class,Japan
1374,Q22128725,1842,,Japan
1375,Q85269339,1843,,Japan
1376,Q11644599,1525,Middle Class,Japan
1377,Q3350115,1717,Middle Class,Japan
1378,Q26708994,1836,,Japan
1379,Q1632536,1754,Middle Class,Japan
1380,Q3347312,1397,Middle Class,Japan
1381,Q1150441,1674,Middle Class,Japan
1382,Q11565094,1830,,Japan
1383,Q11489576,1537,Elite,Japan
1384,Q3151347,1150,Elite,Japan
1385,Q11474036,1804,Middle Class,Japan
1386,Q6538396,1624,,Japan
1387,Q11360404,1848,,Japan
1388,Q652953,1747,Middle Class,Japan
1389,Q56618866,1764,,Japan
1390,Q82572379,1778,Middle Class,Japan
1391,Q11389078,1688,,Japan
1392,Q952891,1780,Middle Class,Japan
1393,Q938347,1761,Middle Class,Japan
1394,Q11372291,1827,Middle Class,Japan
1395,Q11477082,1731,,Japan
1396,Q28051917,1640,Middle Class,Japan
1397,Q3200270,1203,Elite,Japan
1398,Q412791,1732,Middle Class,Japan
1399,Q600541,1838,Middle Class,Japan
1400,Q7080300,1785,,Japan
1401,Q6532218,1770,,Japan
1402,Q6530531,1801,Middle Class,Japan
1403,Q3532585,1647,Elite,Japan
1404,Q11477009,1826,,Japan
1405,Q11563990,1035,Elite,Japan
1406,Q11619104,1784,Middle Class,Japan
1407,Q17350333,1819,,Japan
1408,Q905060,1844,Middle Class,Japan
1409,Q3194229,1762,Middle Class,Japan
1410,Q5986166,1791,Elite,Japan
1411,Q23829562,1767,Middle Class,Japan
1412,Q3151487,1130,Elite,Japan
1413,Q2563388,1751,Middle Class,Japan
1414,Q20041498,1687,Middle Class,Japan
1415,Q2972146,1847,Middle Class,Japan
1416,Q10923573,1566,,Japan
1417,Q11651198,1749,,Japan
1418,Q3135460,1184,Elite,Japan
1419,Q6565826,1797,Middle Class,Japan
1420,Q11383402,1803,Elite,Japan
1421,Q352561,1642,Middle Class,Japan
1422,Q22129680,1779,,Japan
1423,Q17210515,1761,Middle Class,Japan
1424,Q47470292,1840,,Japan
1425,Q52447640,1699,Middle Class,Japan
1426,Q11269467,1287,Elite,Japan
1427,Q11410867,1832,,Japan
1428,Q17217447,1845,,Japan
1429,Q11651203,1782,,Japan
1430,Q683792,1293,Elite,Japan
1431,Q6426256,1797,Middle Class,Japan
1432,Q3575183,1197,Elite,Japan
1433,Q710214,1149,Elite,Japan
1434,Q11571483,1631,Elite,Japan
1435,Q3482782,1450,,Japan
1436,Q105755478,1834,,Japan
1437,Q2600702,1837,Middle Class,Japan
1438,Q11539748,1808,,Japan
1439,Q6447733,1787,,Japan
1440,Q11357485,1839,Middle Class,Japan
1441,Q3473964,1510,,Japan
1442,Q3128827,1767,Middle Class,Japan
1443,Q707279,1558,,Japan
1444,Q427642,1752,Middle Class,Japan
1445,Q11464264,1729,Middle Class,Japan
1446,Q64782560,1784,Middle Class,Japan
1447,Q3335265,1662,Elite,Japan
1448,Q3319416,1718,Subsistence,Japan
1449,Q28692463,1831,Middle Class,Japan
1450,Q6463901,1772,Middle Class,Japan
1451,Q11625011,1848,,Japan
1452,Q11531059,1674,Middle Class,Japan
1453,Q3532584,1530,Elite,Japan
1454,Q52018881,1796,,Japan
1455,Q369158,1666,Middle Class,Japan
1456,Q24067158,1845,,Japan
1457,Q3915605,1650,,Japan
1458,Q942241,1837,,Japan
1459,Q4445223,1842,,Japan
1460,Q11516062,1750,,Japan
1461,Q73641,1832,,Japan
1462,Q906354,1829,Middle Class,Japan
1463,Q11457828,1794,,Japan
1464,Q43137264,1823,,Japan
1465,Q109879318,1848,,Japan
1466,Q60686375,1737,,Japan
1467,Q11357396,1821,,Japan
1468,Q11620197,1808,,Japan
1469,Q4854798,1847,,Japan
1470,Q37999200,1823,Middle Class,Japan
1471,Q2671112,1290,,Japan
1472,Q12955848,1704,,Japan
1473,Q11515254,1842,,Japan
1474,Q11510642,1290,Elite,Japan
1475,Q386144,1432,Elite,Japan
1476,Q11538342,1804,Middle Class,Japan
1477,Q11357501,1850,Middle Class,Japan
1478,Q11557727,1772,,Japan
1479,Q27195853,1837,,Japan
1480,Q3075041,1836,Middle Class,Japan
1481,Q3200722,1831,,Japan
1482,Q24018020,1830,Middle Class,Japan
1483,Q10917300,1800,Middle Class,Japan
1484,Q1240937,1745,Middle Class,Japan
1485,Q3192792,1571,Elite,Japan
1486,Q61057239,1823,,Japan
1487,Q11539729,1819,Middle Class,Japan
1488,Q17989250,1591,Middle Class,Japan
1489,Q504044,1831,Middle Class,Japan
1490,Q11371664,1250,Elite,Japan
1491,Q3506195,1037,Elite,Japan
1492,Q1652740,1837,Middle Class,Japan
1493,Q11623280,1135,Elite,Japan
1494,Q3109209,1652,Middle Class,Japan
1495,Q110016857,1739,,Japan
1496,Q11649619,1791,,Japan
1497,Q11413252,1769,Middle Class,Japan
1498,Q11533345,1831,,Japan
1499,Q29410651,1817,Middle Class,Japan
1500,Q272045,1754,Middle Class,Japan
1501,Q13605312,1750,Middle Class,Japan
1502,Q26254526,1821,,Japan
1503,Q8192957,1723,Middle Class,Japan
1504,Q11607289,1817,,Japan
1505,Q11646578,1823,,Japan
1506,Q16190865,1807,,Japan
1507,Q6463792,1839,,Japan
1508,Q6419248,1830,Subsistence,Japan
1509,Q6532071,1826,Middle Class,Japan
1510,Q11510231,1829,,Japan
1511,Q3192786,1561,Elite,Japan
1512,Q11569727,1839,Middle Class,Japan
1513,Q11649058,1770,Middle Class,Japan
1514,Q1100772,1790,Middle Class,Japan
1515,Q11545180,1838,Middle Class,Japan
1516,Q11428418,1848,,Japan
1517,Q467616,1657,Middle Class,Japan
1518,Q11385801,1830,,Japan
1519,Q11576809,1634,Elite,Japan
1520,Q24286816,1756,,Japan
1521,Q3530487,1139,Elite,Japan
1522,Q82574212,1795,,Japan
1523,Q3136190,1690,Middle Class,Japan
1524,Q43130474,1830,,Japan
1525,Q11576548,1850,Middle Class,Japan
1526,Q2385040,1241,Elite,Japan
1527,Q17224054,1820,Middle Class,Japan
1528,Q11473226,1773,Middle Class,Japan
1529,Q169352,1363,Elite,Japan
1530,Q11568802,1829,,Japan
1531,Q405444,1733,Middle Class,Japan
1532,Q6564602,1727,,Japan
1533,Q3078386,1200,Middle Class,Japan
1534,Q11461076,1844,,Japan
1535,Q11638937,1771,Middle Class,Japan
1536,Q11569626,1837,,Japan
1537,Q6565861,1746,Middle Class,Japan
1538,Q18700900,1773,,Japan
1539,Q1364335,1284,Elite,Japan
1540,Q11633324,1848,,Japan
1541,Q11637181,1771,Middle Class,Japan
1542,Q11474035,1747,Middle Class,Japan
1543,Q6537468,1831,Middle Class,Japan
1544,Q708897,1242,Elite,Japan
1545,Q3482785,1584,Middle Class,Japan
1546,Q15103849,1835,,Japan
1547,Q11394319,1839,,Japan
1548,Q1644611,1640,Middle Class,Japan
1549,Q11664053,1727,,Japan
1550,Q3128810,1801,Elite,Japan
1551,Q61344022,1760,,Japan
1552,Q467337,1839,Middle Class,Japan
1553,Q1032912,1776,Middle Class,Japan
1554,Q24865952,1724,Middle Class,Japan
1555,Q22302378,1793,Middle Class,Japan
1556,Q27954996,1830,,Japan
1557,Q63131398,1798,,Japan
1558,Q1723541,1829,Middle Class,Japan
1559,Q17990265,1831,Middle Class,Japan
1560,Q12951933,1828,,Japan
1561,Q6564876,1801,,Japan
1562,Q22669235,1674,Middle Class,Japan
1563,Q6561134,1732,,Japan
1564,Q11477866,1786,Middle Class,Japan
1565,Q3136181,1773,Middle Class,Japan
1566,Q11480885,1810,,Japan
1567,Q3403337,1200,Elite,Japan
1568,Q11523077,1809,,Japan
1569,Q6378605,1503,,Japan
1570,Q3049352,1271,Elite,Japan
1571,Q6100319,1776,Middle Class,Japan
1572,Q1185323,1536,Elite,Japan
1573,Q3081321,1841,Middle Class,Japan
1574,Q11474034,1798,Middle Class,Japan
1575,Q11666979,1849,,Japan
1576,Q177059,1686,Middle Class,Japan
1577,Q11516063,1750,Middle Class,Japan
1578,Q105090031,1599,,Japan
1579,Q6564851,1771,,Japan
1580,Q22122896,1766,,Japan
1581,Q5986219,1791,Middle Class,Japan
1582,Q11522210,1844,,Japan
1583,Q3128073,1750,,Japan
1584,Q11399243,1706,Middle Class,Japan
1585,Q111455134,1846,Middle Class,Japan
1586,Q535938,1198,Elite,Japan
1587,Q11534827,1850,,Japan
1588,Q919724,1681,Middle Class,Japan
1589,Q378425,1162,Elite,Japan
1590,Q1740737,1663,,Japan
1591,Q9381439,1848,,Japan
1592,Q3004216,1793,Middle Class,Japan
1593,Q1794526,1841,,Japan
1594,Q11531980,1769,Middle Class,Japan
1595,Q704132,1807,Middle Class,Japan
1596,Q3146355,1804,,Japan
1597,Q110176479,1755,Middle Class,Japan
1598,Q24865922,1755,,Japan
1599,Q7400176,1842,,Japan
1600,Q11678677,1755,,Japan
1601,Q11515285,1550,,Japan
1602,Q110017708,1825,,Japan
1603,Q11366075,1806,,Japan
1604,Q11420149,1540,,Japan
1605,Q6527386,1816,Elite,Japan
1606,Q11352627,1599,,Japan
1607,Q11500425,1841,,Japan
1608,Q2406940,1632,Middle Class,Japan
1609,Q11431951,1722,Middle Class,Japan
1610,Q11439019,1791,Middle Class,Japan
1611,Q2813872,1836,Middle Class,Japan
1612,Q17988709,1825,,Japan
1613,Q11454215,1654,Middle Class,Japan
1614,Q11571484,1600,,Japan
1615,Q2458613,1755,Middle Class,Japan
1616,Q11630491,1843,Elite,Japan
1617,Q182880,1746,,Japan
1618,Q74145877,1539,,Japan
1619,Q11477273,1837,Middle Class,Japan
1620,Q584466,1840,Middle Class,Japan
1621,Q11544230,1679,Middle Class,Japan
1622,Q1527039,1598,Elite,Japan
1623,Q11536648,1850,,Japan
1624,Q6446083,1749,,Japan
1625,Q3109429,1671,Middle Class,Japan
1626,Q153320,1781,Middle Class,Japan
1627,Q6565667,1805,Middle Class,Japan
1628,Q48759458,1845,,Japan
1629,Q3154222,1725,Middle Class,Japan
1630,Q17224291,1559,,Japan
1631,Q11365527,1719,Middle Class,Japan
1632,Q3128075,1505,Elite,Japan
1633,Q467427,1786,Middle Class,Japan
1634,Q11539999,1792,Middle Class,Japan
1635,Q11513735,1818,,Japan
1636,Q98117571,1574,,Japan
1637,Q22669222,1718,,Japan
1638,Q11445633,1837,,Japan
1639,Q54867710,1773,,Japan
1640,Q10862089,1846,Elite,Japan
1641,Q11460919,1828,,Japan
1642,Q60229786,1824,,Japan
1643,Q6131301,1828,Elite,Japan
1644,Q22129388,1774,,Japan
1645,Q24865956,1760,,Japan
1646,Q3494527,1839,Middle Class,Japan
1647,Q707533,1839,Middle Class,Japan
1648,Q3128825,1768,Middle Class,Japan
1649,Q11655476,1756,,Japan
1650,Q16859714,1652,Middle Class,Japan
1651,Q3547876,1622,,Japan
1652,Q723243,1090,Elite,Japan
1653,Q11354312,1700,Middle Class,Japan
1654,Q11575905,1838,,Japan
1655,Q11599391,1845,,Japan
1656,Q92924536,1739,,Japan
1657,Q3511675,1715,Middle Class,Japan
1658,Q6561857,1755,Middle Class,Japan
1659,Q40030937,1850,Middle Class,Japan
1660,Q10865731,1550,Elite,Japan
1661,Q22128286,1768,Middle Class,Japan
1662,Q6537486,1768,,Japan
1663,Q10917118,1352,Middle Class,Japan
1664,Q11545169,1844,Middle Class,Japan
1665,Q11554824,1850,,Japan
1666,Q52117198,1800,,Japan
1667,Q1385286,1733,Middle Class,Japan
1668,Q11517007,1807,Middle Class,Japan
1669,Q99340049,1639,,Japan
1670,Q28931,1434,Elite,Japan
1671,Q11523544,1840,,Japan
1672,Q1641297,1448,Middle Class,Japan
1673,Q11545183,1828,Middle Class,Japan
1674,Q11625709,1827,,Japan
1675,Q6564629,1658,Middle Class,Japan
1676,Q6564123,1778,Middle Class,Japan
1677,Q11620976,1735,Middle Class,Japan
1678,Q923562,1421,Middle Class,Japan
1679,Q7684103,1819,Elite,Japan
1680,Q3076602,1053,Elite,Japan
1681,Q17193360,1829,Middle Class,Japan
1682,Q16637436,1250,Elite,Japan
1683,Q3532591,1350,Elite,Japan
1684,Q3511681,1804,,Japan
1685,Q11622673,1843,,Japan
1686,Q11646381,1796,,Japan
1687,Q1723424,1748,,Japan
1688,Q11480535,1829,,Japan
1689,Q200798,1797,Middle Class,Japan
1690,Q11376888,1845,Middle Class,Japan
1691,Q439378,1141,Elite,Japan
1692,Q49073382,1762,,Japan
1693,Q65018451,1845,,Japan
1694,Q11545786,1816,,Japan
1695,Q3201313,1250,Elite,Japan
1696,Q11468870,1843,,Japan
1697,Q3482111,1827,Middle Class,Japan
1698,Q11565901,1685,Middle Class,Japan
1699,Q11531060,1811,Elite,Japan
1700,Q11366196,1827,,Japan
1701,Q11632911,1769,Middle Class,Japan
1702,Q11533137,1825,Elite,Japan
1703,Q11544255,1845,,Japan
1704,Q946932,1751,Middle Class,Japan
1705,Q11429425,1734,,Japan
1706,Q11667307,1844,,Japan
1707,Q11480210,1778,Middle Class,Japan
1708,Q3432034,1530,,Japan
1709,Q6729121,1800,Elite,Japan
1710,Q11562794,1837,,Japan
1711,Q22124297,1806,Middle Class,Japan
1712,Q11468991,1751,,Japan
1713,Q90864192,1769,Middle Class,Japan
1714,Q11530771,1836,,Japan
1715,Q11618520,1827,,Japan
1716,Q3090617,1090,Elite,Japan
1717,Q101217606,1759,Middle Class,Japan
1718,Q3331051,1350,,Japan
1719,Q11575248,1662,Middle Class,Japan
1720,Q11623167,1088,Elite,Japan
1721,Q11545971,1847,,Japan
1722,Q6564648,1728,Middle Class,Japan
1723,Q6538196,1826,Elite,Japan
1724,Q11675017,1759,Middle Class,Japan
1725,Q18336751,1841,,Japan
1726,Q11457593,1831,Middle Class,Japan
1727,Q46837544,1697,,Japan
1728,Q5986161,1688,Middle Class,Japan
1729,Q3122703,1794,Middle Class,Japan
1730,Q4408918,1845,,Japan
1731,Q29410653,1848,Middle Class,Japan
1732,Q11624285,1613,,Japan
1733,Q11357486,1846,Middle Class,Japan
1734,Q11674944,1757,Elite,Japan
1735,Q559747,1830,Middle Class,Japan
1736,Q11511324,1850,Middle Class,Japan
1737,Q3181548,1750,Elite,Japan
1738,Q11480518,1698,Middle Class,Japan
1739,Q11630678,1571,Middle Class,Japan
1740,Q11603122,1821,Middle Class,Japan
1741,Q1059336,1000,Elite,Japan
1742,Q3200273,1669,Elite,Japan
1743,Q244764,1571,Elite,Japan
1744,Q3791358,1723,Middle Class,Japan
1745,Q726163,1600,,Japan
1746,Q28034023,1833,Middle Class,Japan
1747,Q6531189,1810,Middle Class,Japan
1748,Q2743452,1300,,Japan
1749,Q11668912,1845,,Japan
1750,Q11575579,1838,,Japan
1751,Q11458663,1552,Elite,Japan
1752,Q11624497,1842,Middle Class,Japan
1753,Q26254229,1775,Middle Class,Japan
1754,Q47470160,1850,,Japan
1755,Q11640229,1601,,Japan
1756,Q2895619,1220,Elite,Japan
1757,Q3552727,1807,Middle Class,Japan
1758,Q16185965,1648,Middle Class,Japan
1759,Q11562124,1767,Middle Class,Japan
1760,Q11364308,1717,,Japan
1761,Q843245,1625,Elite,Japan
1762,Q6357046,1825,Middle Class,Japan
1763,Q101096592,1823,,Japan
1764,Q6463981,1817,,Japan
1765,Q284038,1759,Elite,Japan
1766,Q3514137,1828,Middle Class,Japan
1767,Q3100970,1831,Middle Class,Japan
1768,Q1240575,1716,Middle Class,Japan
1769,Q11534307,1820,Middle Class,Japan
1770,Q11551410,1787,Middle Class,Japan
1771,Q3090680,1171,Elite,Japan
1772,Q1692314,1381,Elite,Japan
1773,Q6960247,1778,Middle Class,Japan
1774,Q2706164,1414,,Japan
1775,Q1841252,1736,Middle Class,Japan
1776,Q107642902,1723,,Japan
1777,Q6563024,1830,Middle Class,Japan
1778,Q11372875,1850,,Japan
1779,Q11569675,1810,Middle Class,Japan
1780,Q11544237,1828,Middle Class,Japan
1781,Q11575953,1767,,Japan
1782,Q3201302,1844,Middle Class,Japan
1783,Q952938,1658,Middle Class,Japan
1784,Q11425409,1745,Middle Class,Japan
1785,Q43136852,1781,Middle Class,Japan
1786,Q22117083,1790,Middle Class,Japan
1787,Q240176,1661,Middle Class,Japan
1788,Q6106811,1827,,Japan
1789,Q2668015,1173,Middle Class,Japan
1790,Q6537362,1746,Middle Class,Japan
1791,Q2444107,1800,,Japan
1792,Q6538413,1624,,Japan
1793,Q11463879,1568,,Japan
1794,Q3347907,1596,,Japan
1795,Q11486662,1157,Elite,Japan
1796,Q11571444,1816,Middle Class,Japan
1797,Q3574311,1050,Elite,Japan
1798,Q11480207,1721,Middle Class,Japan
1799,Q923621,1599,Elite,Japan
1800,Q22129492,1846,,Japan
1801,Q3088217,1165,Elite,Japan
1802,Q6565179,1658,Middle Class,Japan
1803,Q6273897,1835,,Japan
1804,Q4770954,1760,,Japan
1805,Q1343397,1697,Middle Class,Japan
1806,Q11587303,1760,,Japan
1807,Q6560770,1668,Middle Class,Japan
1808,Q7402732,1759,Middle Class,Japan
1809,Q11474038,1829,Middle Class,Japan
1810,Q1049123,1833,Middle Class,Japan
1811,Q11665005,1054,,Japan
1812,Q11545140,1827,Middle Class,Japan
1813,Q11542456,1839,,Japan
1814,Q11597783,1814,,Japan
1815,Q11655791,1697,Middle Class,Japan
1816,Q1324419,1823,Middle Class,Japan
1817,Q2972127,1756,Elite,Japan
1818,Q11540277,1835,,Japan
1819,Q1553140,1569,,Japan
1820,Q11383405,1845,,Japan
1821,Q62390273,1759,Middle Class,Japan
1822,Q37585073,1755,,Japan
1823,Q11594502,1848,,Japan
1824,Q700470,1823,Middle Class,Japan
1825,Q60229746,1840,,Japan
1826,Q2279282,1796,,Japan
1827,Q3020437,1739,Middle Class,Japan
1828,Q11609190,1849,,Japan
1829,Q17990267,1838,,Japan
1830,Q11113974,1796,Middle Class,China
1831,Q7210422,1625,,China
1832,Q11064033,1770,,China
1833,Q10910066,1717,Middle Class,China
1834,Q717343,670,,China
1835,Q45454448,1662,,China
1836,Q265470,1673,,China
1837,Q818328,1562,Middle Class,China
1838,Q10564133,1833,Middle Class,China
1839,Q10329983,1614,Middle Class,China
1840,Q45477808,1662,,China
1841,Q16076505,1767,,China
1842,Q10900194,1347,,China
1843,Q18234498,1443,,China
1844,Q2962606,1604,Middle Class,China
1845,Q6538730,401,,China
1846,Q45444825,1739,,China
1847,Q11177591,1744,Middle Class,China
1848,Q3082969,1824,,China
1849,Q30944624,1825,,China
1850,Q718118,645,Elite,China
1851,Q298052,177,Elite,China
1852,Q45451558,1662,,China
1853,Q45701172,1839,,China
1854,Q3576147,1686,Middle Class,China
1855,Q11067115,1761,,China
1856,Q15888775,1634,,China
1857,Q45707391,1835,,China
1858,Q45597748,1756,Middle Class,China
1859,Q58431,1052,Elite,China
1860,Q10918860,1848,,China
1861,Q197295,1672,Middle Class,China
1862,Q45696358,1512,,China
1863,Q20063011,1580,Middle Class,China
1864,Q11043376,1781,,China
1865,Q45687393,1736,,China
1866,Q13668070,1808,,China
1867,Q10944799,1753,Middle Class,China
1868,Q11069736,1610,,China
1869,Q1291953,252,Elite,China
1870,Q7967522,1835,,China
1871,Q110083633,1293,,China
1872,Q28409456,1572,,China
1873,Q3090484,1607,Middle Class,China
1874,Q3787747,350,,China
1875,Q45691070,1650,,China
1876,Q716369,730,Elite,China
1877,Q45482943,1628,,China
1878,Q45511568,1825,,China
1879,Q16076458,1580,,China
1880,Q6539084,1282,,China
1881,Q10918606,1628,Middle Class,China
1882,Q18324254,1391,,China
1883,Q45452921,1798,,China
1884,Q45698200,1832,,China
1885,Q10543449,957,,China
1886,Q65800572,1480,,China
1887,Q11172617,1740,,China
1888,Q10948168,1850,Elite,China
1889,Q3082953,656,Elite,China
1890,Q45476712,1620,,China
1891,Q15926393,1621,,China
1892,Q45454914,1510,,China
1893,Q698925,1517,Middle Class,China
1894,Q1041328,1792,Elite,China
1895,Q455589,690,Elite,China
1896,Q11102342,1696,,China
1897,Q5049015,1655,,China
1898,Q45524865,1792,,China
1899,Q45504455,1490,,China
1900,Q9886,833,Elite,China
1901,Q4388724,1727,Middle Class,China
1902,Q45448445,1653,,China
1903,Q11067558,1780,,China
1904,Q45517525,1736,,China
1905,Q7225539,750,,China
1906,Q10889489,1668,,China
1907,Q6382372,837,Elite,China
1908,Q700068,1287,Middle Class,China
1909,Q6395605,1785,,China
1910,Q98970752,1732,,China
1911,Q3206035,1647,Middle Class,China
1912,Q698174,675,Elite,China
1913,Q945333,1550,Elite,China
1914,Q741512,1388,Middle Class,China
1915,Q3237555,1575,Middle Class,China
1916,Q3571072,1564,Middle Class,China
1917,Q707875,1357,Elite,China
1918,Q12526388,1770,,China
1919,Q5209048,1801,Middle Class,China
1920,Q3315279,1503,Middle Class,China
1921,Q3287200,1594,Middle Class,China
1922,Q3276928,442,Elite,China
1923,Q11091305,1719,,China
1924,Q11097685,1673,,China
1925,Q1562448,479,,China
1926,Q708659,1829,Middle Class,China
1927,Q15924981,1637,Middle Class,China
1928,Q45503932,1622,,China
1929,Q10514369,281,Elite,China
1930,Q7561039,887,Elite,China
1931,Q4720391,1829,Middle Class,China
1932,Q3424695,1835,Middle Class,China
1933,Q31754,1610,Elite,China
1934,Q10503843,1272,,China
1935,Q835818,1585,Elite,China
1936,Q9452128,1232,,China
1937,Q45684078,1830,,China
1938,Q45369541,1248,,China
1939,Q11096060,1770,,China
1940,Q627017,1250,Middle Class,China
1941,Q110176368,1505,,China
1942,Q15913733,1628,,China
1943,Q3700732,1740,Middle Class,China
1944,Q3095236,1248,Middle Class,China
1945,Q9622865,1233,,China
1946,Q10944304,1753,,China
1947,Q6230250,1837,,China
1948,Q722288,1012,Middle Class,China
1949,Q45673379,1572,,China
1950,Q16077138,1755,Elite,China
1951,Q378564,303,Elite,China
1952,Q835720,1311,,China
1953,Q8073956,1525,,China
1954,Q45653997,1742,,China
1955,Q24203363,1848,,China
1956,Q1285773,531,Elite,China
1957,Q28416938,1263,,China
1958,Q11658403,1762,,China
1959,Q840344,370,Elite,China
1960,Q16128647,950,,China
1961,Q45517655,1749,,China
1962,Q835918,550,,China
1963,Q10087736,1805,,China
1964,Q267350,1612,Elite,China
1965,Q3237589,1610,,China
1966,Q16260685,1586,Middle Class,China
1967,Q4843146,792,Elite,China
1968,Q18118833,1435,,China
1969,Q8059998,1775,Middle Class,China
1970,Q45689278,1736,,China
1971,Q1367928,812,Elite,China
1972,Q31765,450,Middle Class,China
1973,Q16075667,1458,Elite,China
1975,Q45475248,1831,,China
1976,Q856223,790,Elite,China
1977,Q714270,815,Elite,China
1978,Q45457268,1726,,China
1979,Q733082,1231,Middle Class,China
1980,Q181474,1671,,China
1981,Q2470693,1290,Elite,China
1982,Q65799459,1628,Elite,China
1983,Q10947658,1843,,China
1984,Q45414461,1260,Elite,China
1985,Q3138460,1768,Middle Class,China
1986,Q45501943,1767,,China
1987,Q715748,1811,Middle Class,China
1988,Q10396903,1791,,China
1989,Q334095,803,Elite,China
1990,Q3492957,1367,,China
1991,Q10869241,1421,Middle Class,China
1992,Q11172703,1246,Middle Class,China
1993,Q62575481,1621,,China
1994,Q11109004,1650,,China
1995,Q378277,1623,Middle Class,China
1996,Q15920149,1594,,China
1997,Q704352,1350,,China
1998,Q10567292,1515,,China
1999,Q3359237,1801,Middle Class,China
2000,Q15920445,1762,Middle Class,China
2001,Q32086,903,,China
2002,Q16077487,1732,,China
2003,Q45704154,1815,,China
2004,Q711808,1488,Elite,China
2005,Q11178830,1748,,China
2006,Q45702703,1743,,China
2007,Q1562454,571,Elite,China
2008,Q11039834,1647,,China
2009,Q45413934,1260,,China
2010,Q1548242,1849,,China
2011,Q45696981,1434,,China
2012,Q11980612,1655,,China
2013,Q1018002,595,Elite,China
2014,Q1260120,1008,Elite,China
2015,Q11093823,1444,,China
2016,Q1175924,751,Middle Class,China
2017,Q15928567,1624,,China
2018,Q10865996,781,,China
2019,Q45447826,1662,,China
2020,Q15926002,1794,Middle Class,China
2021,Q45693529,1697,,China
2022,Q371868,850,Elite,China
2023,Q11085257,1815,,China
2024,Q28409186,1250,,China
2025,Q985731,592,Elite,China
2026,Q3575402,1570,,China
2027,Q736647,578,Elite,China
2028,Q11068784,1738,,China
2029,Q1156713,195,Elite,China
2030,Q13710031,1793,,China
2031,Q11650280,1807,,China
2032,Q10567160,1809,,China
2033,Q16903272,1602,,China
2034,Q12159927,1329,Middle Class,China
2035,Q197962,1017,Elite,China
2036,Q28418819,1837,,China
2037,Q575900,1236,Middle Class,China
2038,Q697553,1150,Middle Class,China
2039,Q5091225,1718,,China
2040,Q11172664,1764,,China
2041,Q716338,1642,Elite,China
2042,Q45495312,1201,,China
2043,Q4570160,1801,Middle Class,China
2044,Q10865007,1603,Middle Class,China
2045,Q10330886,1450,,China
2046,Q712007,1693,Middle Class,China
2047,Q13631098,1836,Middle Class,China
2048,Q45708234,1355,,China
2049,Q45579190,1426,,China
2050,Q11180132,1704,,China
2051,Q699266,1104,Middle Class,China
2052,Q11039709,1618,,China
2053,Q11093738,1340,,China
2054,Q6149510,1610,Elite,China
2055,Q45579199,1820,,China
2056,Q6539220,-149,Elite,China
2057,Q1282657,250,Middle Class,China
2058,Q704075,1623,Middle Class,China
2059,Q45708930,1594,Middle Class,China
2060,Q45692333,1692,,China
2061,Q381822,989,Elite,China
2062,Q15919171,1648,,China
2063,Q4499696,1350,,China
2064,Q45686103,1784,,China
2065,Q11120908,1846,Elite,China
2066,Q45675439,1225,,China
2067,Q4501976,1074,,China
2068,Q45657605,1620,,China
2069,Q1329823,1633,Middle Class,China
2070,Q1367171,1587,Middle Class,China
2071,Q45620293,1299,,China
2072,Q45638230,1809,,China
2073,Q45473118,1628,,China
2074,Q2536277,1763,Middle Class,China
2075,Q45414486,1292,,China
2076,Q45708592,1646,Middle Class,China
2077,Q10921064,1056,Elite,China
2078,Q110176516,1814,,China
2079,Q11094415,1769,,China
2080,Q11138435,1818,Middle Class,China
