,individual_wikidata_id,birthyear,classification,region_name
149,Q6227545,1805,,United Kingdom
150,Q20733605,1835,Middle Class,United Kingdom
151,Q18529989,1724,,United Kingdom
152,Q16858111,1750,,United Kingdom
153,Q5545789,1793,Elite,United Kingdom
154,Q2577971,1627,,United Kingdom
155,Q21452846,1849,,United Kingdom
156,Q75395405,1808,,United Kingdom
157,Q13414783,1847,Middle Class,United Kingdom
158,Q64685414,1817,,United Kingdom
159,Q18529865,1814,Middle Class,United Kingdom
160,Q716197,1823,Middle Class,United Kingdom
161,Q13107330,1779,,United Kingdom
162,Q53504434,1819,,United Kingdom
163,Q7794018,1786,Middle Class,United Kingdom
164,Q3423476,1764,,United Kingdom
165,Q18536016,1832,,United Kingdom
166,Q8068351,1798,,United Kingdom
167,Q21464862,1817,,United Kingdom
168,Q30125426,1772,Elite,United Kingdom
169,Q7793956,1803,Middle Class,United Kingdom
170,Q20726580,1834,Middle Class,United Kingdom
171,Q108839569,1839,Elite,United Kingdom
172,Q4800711,1595,,United Kingdom
173,Q6969748,1739,Middle Class,United Kingdom
174,Q63307147,1828,,United Kingdom
175,Q18910683,1833,Middle Class,United Kingdom
176,Q721850,1849,,United Kingdom
177,Q1346563,1692,Middle Class,United Kingdom
178,Q15434941,1843,,United Kingdom
179,Q5240340,1828,Middle Class,United Kingdom
180,Q6218979,1789,,United Kingdom
181,Q18875883,1837,,United Kingdom
182,Q593690,1785,Middle Class,United Kingdom
183,Q711411,1588,Middle Class,United Kingdom
184,Q18523955,1630,,United Kingdom
185,Q13537178,1718,Middle Class,United Kingdom
186,Q3157603,1825,Middle Class,United Kingdom
187,Q21461511,1824,,United Kingdom
188,Q6130422,1806,Middle Class,United Kingdom
189,Q21664535,1827,,United Kingdom
190,Q5372152,1797,Elite,United Kingdom
191,Q5489952,1845,,United Kingdom
192,Q5881202,1773,Middle Class,United Kingdom
193,Q18511875,1812,Middle Class,United Kingdom
194,Q18527590,1792,,United Kingdom
195,Q24088318,1812,,United Kingdom
196,Q2624753,1547,Middle Class,United Kingdom
197,Q21466496,1826,,United Kingdom
198,Q16859352,1755,,United Kingdom
199,Q20080791,1840,,United Kingdom
200,Q96097411,1847,,United Kingdom
201,Q110253689,1817,Elite,United Kingdom
202,Q321122,1841,Middle Class,United Kingdom
203,Q578648,1637,Middle Class,United Kingdom
204,Q18127600,1835,,United Kingdom
205,Q1124625,1711,Middle Class,United Kingdom
206,Q21453085,1779,,United Kingdom
207,Q18527396,1657,Elite,United Kingdom
208,Q20280886,1769,,United Kingdom
