,region_name,year,log_height_std,N_est_log_std,N_est,height_weighted
0,Arabic world,1850,1.001219022227643,0.8050685747235907,660.1926304484095,166.35345737188516
1,Arabic world,1860,1.002814314467111,0.8342867576209639,835.6114481106611,167.71453879075926
2,Arabic world,1870,1.001837713394439,0.8047844595519457,658.6816847671411,166.88
3,Arabic world,1880,0.9996468231336615,0.8869123057818384,1277.379678708767,165.02288625151925
22,Chinese world,1810,1.0004484764726123,0.6731989796304808,227.93491145157626,165.7
23,Chinese world,1820,1.000566591484171,0.6892966253459462,259.5321789137305,165.8
24,Chinese world,1830,1.000566591484171,0.7532805298866637,434.79878379490486,165.8
25,Chinese world,1840,1.0010383402081442,0.7330252398097985,369.271874088939,166.2
26,Chinese world,1850,1.0010383402081442,0.7297272145923769,359.57975579733255,166.2
27,Chinese world,1860,1.0004484764726123,0.7592074546574377,456.0860309895971,165.7
28,Chinese world,1870,1.000566591484171,0.7365854841420495,380.028024073183,165.8
29,Chinese world,1880,0.9999753025245228,0.7460796084426864,410.2681724351062,165.3
30,France,1660,0.996751111389593,0.9803253136958083,2713.2483481333893,162.6
31,France,1670,0.9950581676962739,0.9617804188364679,2336.350208696622,161.2
32,France,1680,0.9954221757820263,1.073473005255983,5750.820976428447,161.5
33,France,1690,0.99524025633974,0.988911683860427,2907.7859522126,161.35
34,France,1710,0.9996196700457671,1.0091608208693208,3423.5996533583234,165.0
35,France,1720,0.9981906445351092,1.047799099157054,4675.3013343058765,163.8
36,France,1730,1.0011560999865639,1.0063901776945672,3347.9508854446303,166.3
37,France,1740,1.0020956368861935,1.0837974152071714,6250.144272484528,167.1
38,France,1750,1.0010383402081442,1.0286875846664232,4007.499480943724,166.2
39,France,1810,0.9983101292051104,1.122376947504237,8531.215729875083,163.89999999999998
40,France,1820,0.9983101292051104,1.1708490164551477,12611.867746251417,163.9
41,France,1830,0.998429540996382,1.167691591573353,12294.782460304881,164.0
42,France,1840,0.9987873399855008,1.242063908530944,22397.642731202577,164.3
43,France,1850,0.9998568301301539,1.2413831413515353,22275.01448689399,165.2
44,France,1860,1.0000937032694197,1.275564311679461,29344.996514085426,165.4
45,France,1870,1.0002120324514567,1.2373750873418936,21566.526049198073,165.5
46,France,1880,1.0006846352777503,1.2868156980335221,32132.232209098434,165.9
47,German world,1550,1.0029140491739055,0.9717602365972116,2532.1605434073367,167.8
48,German world,1650,1.0052336927292245,1.0907931817335863,6612.90070880277,169.8
49,German world,1710,0.998429540996382,1.1706444255653288,12591.076109920687,164.0
50,German world,1720,0.9980710868973659,1.2182497974187916,18483.993817560768,163.7
51,German world,1730,0.9981906445351092,1.1950298163789566,15327.460174568747,163.8
52,German world,1740,0.9979514562027055,1.2375780464456112,21601.854565784277,163.6
53,German world,1750,1.0026308683171845,1.2227416492861012,19165.849263900745,167.5574601129344
54,German world,1760,1.0034965417955792,1.2571236585488896,25289.92568632069,168.3
55,German world,1770,1.0028323214898225,1.24314311757758,22593.428162410994,167.72996552424866
56,German world,1780,0.9995317574068362,1.3025189210439119,36470.341984877385,164.92592372515128
57,German world,1790,0.9975773531464905,1.2907080238745694,33156.85816894917,163.2876790914955
58,German world,1800,0.9987873399855008,1.3217672625541943,42594.66344535062,164.3
59,German world,1810,1.0029140491739055,1.2884029065898943,32546.17333547814,167.8
60,German world,1820,1.0018833237711895,1.330876167736715,45841.43494174881,166.91888301387974
61,German world,1830,1.0012875507825045,1.3388563843627521,48888.65613106463,166.41169729537157
62,German world,1840,1.001283230211997,1.398543500271811,79114.51000715444,166.408024797658
63,German world,1850,0.9984409664475892,1.375958151415614,65940.65534127453,164.00957130730052
64,German world,1860,1.0003239246601539,1.4064701849531467,84337.07764713101,165.59461572832888
65,German world,1870,1.0017477741653122,1.3942399782131456,76415.85822383554,166.80335301469637
66,German world,1880,1.0029371842660806,1.4447761858620316,114863.33305003389,167.81983034321374
67,Greek World,1660,0.996751111389593,0.3773053526728735,20.9639715827286,162.6
68,Greek World,1690,0.99524025633974,0.3760041453410139,20.745132651599175,161.35
69,Greek World,1720,0.9981906445351092,0.480848896918566,48.31970545417087,163.8
70,Greek World,1730,1.001745566815826,0.4590073568374497,40.515995020469816,166.8014723351248
71,Greek World,1740,1.0016528640570368,0.24875338402169814,7.4341853963561615,166.72250797884692
72,Greek World,1750,1.0005459551452889,0.5075105910822354,59.91066580934137,165.7825242562591
73,Greek World,1760,0.9995264809968837,0.5981504827238528,124.44032401574472,164.92147881503791
74,Greek World,1770,0.9994472747708343,0.36943891415045893,19.67533623155744,164.85476894864436
75,Greek World,1780,0.9989210369483245,0.2452835028142489,7.229037573384821,164.4122402911503
76,Greek World,1790,1.0006846352777503,0.5395203998008246,77.55597113767877,165.9
77,Greek World,1800,0.999025509875848,0.700334119142231,283.69318985414696,164.5
78,Greek World,1810,0.9984036972920591,0.636535795726714,169.59060199601404,163.97835232164834
