,region_name,year,log_gdp_std,N_est_log_std
0,Arabic world,730,0.9616415079104478,0.5447553416815205
1,Arabic world,1000,0.9396512777678744,0.4463810315786084
2,Arabic world,1120,0.9402062191233647,0.5619861837535711
3,Arabic world,1280,0.9411397403089526,0.7061507673843306
4,Arabic world,1300,0.9284283637714332,0.6259634466081075
5,Arabic world,1400,0.9527562506996401,0.6260076909113802
6,Arabic world,1500,0.9431465969118429,0.62533562972273
7,Arabic world,1820,0.907514578920051,0.8161090568076996
8,Arabic world,1870,0.9441086505063454,1.0438497505480364
9,Chinese world,1000,0.9596615215463246,0.284038558382961
10,Chinese world,1090,0.95928689640724,0.2840673222386747
11,Chinese world,1120,0.954708355735214,0.449608949798226
12,Chinese world,1400,0.9780796370497608,0.7484583656646259
13,Chinese world,1410,0.9790138291910665,0.5921468782742624
14,Chinese world,1420,0.9788228049274738,0.4915782178201764
15,Chinese world,1430,0.9868020640821591,0.6784671072872867
16,Chinese world,1440,0.9831493750968238,0.6622643757950556
17,Chinese world,1450,0.9752764861439523,0.38954432720800686
18,Chinese world,1460,0.9701382607267318,0.6810714306597045
19,Chinese world,1470,0.9718600826066842,0.6133064584896343
20,Chinese world,1480,0.9615097523641906,0.6385835507710323
21,Chinese world,1490,0.9556241575910043,0.525130637278093
22,Chinese world,1500,0.9576830351439959,0.6906150393530474
23,Chinese world,1510,0.9649429071495164,0.6130507254958819
24,Chinese world,1520,0.9529879393740476,0.7906983688772686
25,Chinese world,1530,0.9553969544738808,0.7931638640201837
26,Chinese world,1540,0.9560774195441668,0.7643718121908175
27,Chinese world,1550,0.9563034809365483,0.7914465652538766
28,Chinese world,1560,0.9568669832988272,0.6873723519532545
29,Chinese world,1570,0.9610571763802553,0.7458408124966301
30,Chinese world,1580,0.9587654809149989,0.7242132070197613
31,Chinese world,1590,0.9587654809149989,0.6217204393444223
32,Chinese world,1600,0.9588171478658183,0.7304460836302981
33,Chinese world,1610,0.9657877212990855,0.7449210434078998
34,Chinese world,1620,0.9636656867049656,0.8965280658050219
35,Chinese world,1660,0.9707484740633663,1.0737830430415967
36,Chinese world,1680,0.9655770130288105,0.9790100575646273
37,Chinese world,1690,0.9789183508569134,0.8605785579486361
38,Chinese world,1700,0.9907644237367531,0.9600450976374306
39,Chinese world,1710,0.9782481044719623,0.8657344261966416
40,Chinese world,1720,0.9614010462610948,0.7394766849505766
41,Chinese world,1730,0.9606376419323204,0.8671826728277123
42,Chinese world,1740,0.9520587885804237,0.8533857493302811
43,Chinese world,1750,0.9402840646159727,0.7775058329942358
44,Chinese world,1760,0.9351980185463598,0.8876167203209306
45,Chinese world,1770,0.9315167964799446,0.921823296963642
46,Chinese world,1780,0.929672230822613,0.9334004371886429
47,Chinese world,1790,0.9260470912674462,0.9175941651328453
48,Chinese world,1800,0.9219231003558983,1.014989503679559
49,Chinese world,1810,0.9181916786650451,0.8731761387983316
50,Chinese world,1820,0.9153823802588437,0.8940556715291877
51,Chinese world,1830,0.909691188810332,0.977046318280868
52,Chinese world,1840,0.9101689189364206,0.9507740919188116
53,Chinese world,1850,0.9115920458635565,0.9464963716427226
54,Chinese world,1870,0.924647835140028,0.9553919248230147
55,France,1280,0.9704011849860398,1.007177190650941
56,France,1290,0.9604466097721751,0.6795930675316587
57,France,1300,0.9714081915615642,0.8699341765831597
58,France,1310,0.9774390120111687,0.4790256389695289
59,France,1320,0.9599432788186949,0.7574206667511472
60,France,1330,0.9777413617511382,0.5689944886866332
61,France,1340,0.988513128791613,1.0060480925194426
62,France,1350,0.9767057634367489,0.5410268577436544
63,France,1360,1.0020780500252606,0.7211749963079427
64,France,1370,1.0052669218532504,0.4670848586298005
65,France,1380,1.0039719934277613,1.0076492932614274
66,France,1390,0.9947758868095065,0.4717598248510013
67,France,1400,0.9962943756370403,0.9461623919187919
68,France,1410,0.9963126207558802,0.7952847268883407
69,France,1420,0.9959991997464364,0.9303969717651016
70,France,1430,0.9907578570870149,0.8616720969207957
71,France,1440,0.9832547564766143,1.0871301140368659
72,France,1450,0.9992918378638623,0.7237013356966522
73,France,1460,0.9848738461757817,0.9253758906061186
74,France,1470,1.0018214126324754,0.6169147410198819
75,France,1480,0.9841304207404699,1.0425078609500855
76,France,1490,0.9842513752079938,0.8138374668443545
77,France,1500,0.9902332452434977,1.1140989692482288
78,France,1510,0.987853116504905,0.9483389365690826
79,France,1520,0.9765159952665411,1.1387943277275376
80,France,1530,0.9755716939627229,1.0414437239942274
81,France,1540,0.9876799443304849,1.319222614223643
82,France,1550,0.9792051794286363,1.0662742822436537
83,France,1560,0.969077234890316,1.2179543478296517
84,France,1570,0.9672495835879161,1.129655377139352
85,France,1580,0.9748537659369744,1.2376668150515937
86,France,1590,0.9664004223239936,1.103578571595641
87,France,1600,0.989521037349693,1.2508717916280578
88,France,1610,0.9948342457216681,1.1611365880959592
89,France,1620,0.9985037937278816,1.2748808593924312
90,France,1630,0.9848381685977111,1.2190789775816968
91,France,1640,0.9861253036548102,1.3538088249389768
92,France,1650,0.9972841761208785,1.23116204429763
93,France,1660,1.0155392177714324,1.2715359025782036
94,France,1670,1.0306703049665031,1.2474821529771747
95,France,1680,1.0142474221399571,1.3923535866738268
96,France,1690,1.0074881907283806,1.2826728973947292
97,France,1700,1.0071167461779746,1.3563331697850574
98,France,1710,1.002522703289027,1.3089371428888763
99,France,1720,1.0219483091389125,1.3590531170153035
100,France,1730,1.0190056221011468,1.3053434661565566
101,France,1740,1.0147943771073429,1.4057449147793715
102,France,1750,1.0101758437451402,1.3342644305578801
