,region_name,year,log_homicide_rate_std,N_est_log_std,N_est,homicide_rate_weighted
1,France,1800,0.3901647500605309,0.9975985254406502,12119.392610128276,1.5
2,France,1810,0.3901647500605309,0.9603499663420049,8531.215729875083,1.5
3,France,1820,0.3901647500605309,1.0018245795626748,12611.867746251417,1.5
4,France,1830,0.3901647500605309,0.9991229623513613,12294.782460304881,1.5
5,France,1840,0.3901647500605309,1.062758848891814,22397.642731202577,1.5
6,France,1850,0.3538485656585383,1.062176357653656,22275.01448689399,1.4444444444444444
7,France,1860,0.3237753470727804,1.0914231145894133,29344.996514085426,1.4
8,France,1870,0.3237753470727804,1.058746908624241,21566.526049198073,1.4
9,France,1880,0.3237753470727803,1.1010502443433259,32132.232209098434,1.3999999999999997
10,German world,1800,0.90825391130138,1.1309561809234259,42594.66344535062,2.5699108220502276
11,German world,1810,0.9082460781757669,1.1024083225603447,32546.17333547814,2.569889902283666
12,German world,1820,0.9075892226501435,1.138750119318987,45841.43494174881,2.5681362575567377
13,German world,1830,0.9046604608339268,1.1455783072867267,48888.65613106463,2.5603317262163023
14,German world,1840,0.9021680507100288,1.196648956841474,79114.51000715444,2.5537086633212485
15,German world,1850,0.6546163352798531,1.1773240419257665,65940.65534127453,1.9744447001772154
16,German world,1860,0.42823492237935684,1.2034313407668138,84337.07764713101,1.5605342129772188
17,German world,1870,0.45843759162144365,1.1929666937003953,76415.85822383554,1.6102915948981225
18,German world,1880,0.5488723322066705,1.2362074653703579,114863.33305003389,1.7689681798341563
19,Greek World,1800,1.5410817181814371,0.5992334832267749,283.69318985414696,4.96054406318153
20,Greek World,1810,1.541128523014939,0.5446451224438779,169.59060199601404,4.960785351355061
21,Greek World,1820,1.5410068160280752,0.6065246206965701,303.87418184958034,4.960157952185493
22,Greek World,1830,1.5422948635865672,0.6226686757007235,353.81516046087916,4.966801859410437
23,Greek World,1840,1.5480160010844046,0.6897009354455891,665.518776795475,4.996419902790493
24,Greek World,1850,1.504200670919967,0.7455272192812505,1126.3533256120695,4.774016971381965
25,Greek World,1860,1.4705366524663501,0.7414553478048239,1083.9449091858255,4.609889678661386
26,Greek World,1870,1.4805723993756323,0.721208113943827,895.6307341231095,4.65821918421135
27,Greek World,1880,1.2568922136891536,0.7883130893604859,1685.8173194817007,3.6920482836304234
28,Italy,1800,2.0009731371473873,1.0050363320725826,12999.483863213802,8.0
29,Italy,1810,2.0009731371473873,0.9912768546812388,11418.374721700266,8.0
30,Italy,1820,2.0009731371473873,1.0173006054396125,14592.42911455505,8.0
31,Italy,1830,2.0009731371473873,1.000602654227481,12467.45150698765,8.0
32,Italy,1840,2.0009731371473873,1.0716003609471443,24344.0801919715,8.0
33,Italy,1850,1.9317155809960613,1.060595386305511,21945.555982385835,7.444444444444445
34,Italy,1860,1.872480595158588,1.0995303271026666,31675.202724611867,7.0
35,Italy,1870,1.872480595158588,1.0683377960380258,23606.884634733393,7.0
36,Italy,1880,1.674789116291361,1.1014299277901978,32247.42632267353,5.7
37,Low countries,1800,-0.21472315665421557,0.8211030390356239,2296.3070948494455,0.8000000000000002
38,Low countries,1810,-0.2147231566542157,0.8144186855810105,2156.0996606099193,0.8
39,Low countries,1820,-0.2147231566542157,0.8474658088010835,2944.0215102204916,0.8
40,Low countries,1830,-0.2147231566542157,0.8649581039612798,3471.701524492682,0.8
41,Low countries,1840,-0.2147231566542157,0.9336856110788996,6635.374352787361,0.8
42,Low countries,1850,0.08629139142038511,0.9462768461257136,7471.456438088207,1.093819083565947
43,Low countries,1860,0.27345234053667083,0.9723470387868406,9552.535730281414,1.328666499455373
44,Low countries,1870,0.29573426531397673,0.957467306294031,8302.546192449914,1.3597916920910176
45,Low countries,1880,0.33340780235956197,0.9976331478344612,12123.348090398833,1.4140846478784737
46,Nordic countries,1800,0.14897518398021478,0.9009907875455889,4875.681796385602,1.167444607347582
47,Nordic countries,1810,0.14152380604354892,0.8974011903914119,4713.483785134753,1.1584393128617252
48,Nordic countries,1820,0.5192964696476852,0.9206104690364941,5866.037151638668,1.7154247948864048
49,Nordic countries,1830,0.5875648083035108,0.9130193514956285,5460.997849306194,1.8415474684059028
50,Nordic countries,1840,0.6318550908093242,0.9677158181799772,9144.535396276244,1.9282895470460233
51,Nordic countries,1850,0.5722738904404046,0.9764683525536662,9930.897264015694,1.812515538254151
52,Nordic countries,1860,0.39598171836724344,1.0048051568685912,12971.190490372064,1.5090950847047468
53,Nordic countries,1870,0.5020876762194915,1.004893485400766,12981.993681392483,1.6850194477113698
54,Nordic countries,1880,0.3945451649265691,1.049614334772971,19787.809958965903,1.5068438555086898
73,Spain,1800,2.0926867562429634,0.8687521161479826,3598.093554829656,8.8
74,Spain,1810,2.0926867562429634,0.8540666272927737,3132.998454691005,8.8
75,Spain,1820,2.0926867562429634,0.8678685367638492,3568.2533835238346,8.8
76,Spain,1830,2.0926867562429634,0.7997101684864445,1876.9914692621721,8.8
77,Spain,1840,2.0926867562429634,0.9467559953034896,7505.274401671756,8.8
78,Spain,1850,2.0618225109235473,0.9438445876131544,7302.125260212515,8.522222222222222
79,Spain,1860,2.0363979229919145,0.9830655405070842,10568.000618917862,8.3
80,Spain,1870,2.0363979229919145,0.9690133030034753,9257.05094860068,8.3
81,Spain,1880,1.6404188671813833,1.0250238403684793,15694.272664260892,5.5
82,United Kingdom,1800,0.4522678890615803,0.9444392066351645,7343.164191192906,1.6000000000000003
83,United Kingdom,1810,0.45226788906158016,0.9262024404753804,6183.501727849928,1.6
84,United Kingdom,1820,0.45226788906158016,0.9595425177630519,8466.536522120427,1.6
85,United Kingdom,1830,0.45226788906158016,0.9466439840206068,7497.355051766423,1.6
86,United Kingdom,1840,0.45226788906158016,0.9991547892290095,12298.47113569014,1.6
87,United Kingdom,1850,0.4522678890615803,0.999547710385821,12344.10123106204,1.6000000000000003
88,United Kingdom,1860,0.45226788906158016,1.0235655705493483,15480.03869336164,1.6
89,United Kingdom,1870,0.45226788906158016,0.9944465445648326,11764.644742003877,1.6
90,United Kingdom,1880,0.2524638634095886,1.0438153447314813,18735.30044625974,1.3
