,region_name,decade,N_est,N_est_min,N_est_max,N_est_log,N_est_log_std
0,Arabic world,-610,5.529169521571941,3.469452571077319,12.010166464335535,1.7100376273256261,0.4140699256984502
1,Arabic world,-400,2.6114481695514074,2.0708917875881507,3.533069565038451,0.9599049216941632,0.23243217181430642
2,Arabic world,-360,14.825989817246173,11.4418109162024,20.637703256222622,2.696381709416956,0.652904097682955
3,Arabic world,-330,6.061845843707764,4.709635320392421,8.383011502739208,1.802014348372932,0.4363412450200062
4,Arabic world,-310,6.022250141700264,4.717133722322425,8.197014673997433,1.795460967174324,0.4347544038753321
5,Arabic world,-300,24.011957886605668,18.883892612175163,32.59470117654709,3.1785519515402187,0.7696571989829682
6,Arabic world,-280,5.966344902292305,4.688539482342599,8.060428982881913,1.7861344957343708,0.4324960843655972
7,Arabic world,-270,23.797637069905036,18.719270759602292,32.14621644764773,3.1695862929714687,0.7674862470003466
8,Arabic world,-260,11.867531309488077,9.306483676350652,16.030292727529,2.4738062096945916,0.5990094820560058
9,Arabic world,-250,5.9197372471121525,4.643277938027283,7.99606593350763,1.7782920639771604,0.4305971114523042
10,Arabic world,-240,11.815360499058889,9.242639648263737,15.95033443263253,2.4694004221546755,0.5979426610164306
11,Arabic world,-230,5.897978491593912,4.610256951538326,7.9922362548852925,1.7746096636576987,0.4297054519927073
12,Arabic world,-220,11.782074155364153,9.18084072402379,15.952726922386745,2.4665792370335295,0.5972595369173886
13,Arabic world,-200,6.199979774806015,4.782959900772296,8.547072421469753,1.824546029917663,0.44179708502843856
14,Arabic world,-170,5.908834947422406,4.607392230447228,7.9875565806388895,1.7764486795690215,0.43015075282678933
15,Arabic world,-160,11.84439270238846,9.25140441784192,15.963991959447771,2.4718545659197177,0.5985369094178727
16,Arabic world,-120,17.979346195279152,14.22053251532276,23.8291112211989,2.889223665494628,0.6995990084548923
17,Arabic world,-100,12.062756403642297,9.631507939770708,15.81142435329263,2.4901227226996947,0.6029603760127937
18,Arabic world,-90,12.098403789803701,9.668601648586012,15.810198757905546,2.4930735257026835,0.6036748858929706
19,Arabic world,-60,12.181004190476163,9.831746747906745,15.711172498879147,2.49987770473518,0.6053224554326134
20,Arabic world,-50,12.196684572939741,9.872611802620272,15.700293246935082,2.5011641584903574,0.6056339584091027
21,Arabic world,-40,12.20466293296544,9.88721953880862,15.66577274653671,2.5018180863366024,0.6057923010387501
22,Arabic world,-20,6.096817325483878,4.9337505717670105,7.839362953302778,1.8077668850997373,0.4377341690217845
23,Arabic world,-10,6.08643164070538,4.929194594522242,7.829992400936308,1.8060619725065503,0.437321340076092
24,Arabic world,40,11.888683258940478,9.586432640671653,15.329623814786606,2.4755869609991406,0.5994406746500045
25,Arabic world,50,5.896187523322865,4.746943439536145,7.645905983748489,1.7743059595581383,0.4296319128308025
26,Arabic world,60,34.41411916035432,26.74392043991041,46.80568665178875,3.5384669208795803,0.8568073073961856
27,Arabic world,70,5.779037315397941,4.639072840142389,7.517800214280644,1.754237114383135,0.4247724260583018
28,Arabic world,80,11.419927012204495,9.15926699203363,14.875222028755362,2.4353598129819143,0.5897000397514592
29,Arabic world,100,16.6527395523797,13.33698746159507,21.707132163148575,2.812574740572076,0.6810391743668066
30,Arabic world,140,46.47121435905006,37.41114683486585,60.219334899756284,3.838833074863262,0.9295382163977974
31,Arabic world,170,4.845036620819613,3.9244235547196897,6.2034897156791935,1.5779548037908646,0.38208728154306176
32,Arabic world,200,18.12063218919801,14.810370204714255,22.86919922892976,2.897051189034813,0.701494371480182
33,Arabic world,210,4.429343020474509,3.6373676332669977,5.572036513005917,1.488251270683202,0.3603663938296914
34,Arabic world,220,4.331584872637942,3.568064059546595,5.444038607408156,1.4659334964393527,0.3549623495120479
35,Arabic world,240,29.030485472952584,24.027386420828396,36.12805891606952,3.368346501043542,0.8156142082060449
36,Arabic world,250,4.061464376363384,3.373835420687079,5.040585552511873,1.4015435924162098,0.33937092488574283
37,Arabic world,280,19.171759698584022,16.000532358154164,23.590615154959217,2.953438347241368,0.7151480046142376
38,Arabic world,290,3.7697339643115284,3.1483804242931632,4.632593528494268,1.3270044324743713,0.3213219510353769
39,Arabic world,300,3.711131631147558,3.1038199673642746,4.564487743123512,1.311336851982287,0.31752819013411665
40,Arabic world,320,3.613050443854414,3.0275082144511303,4.454683228143118,1.284552413832338,0.3110425841232308
41,Arabic world,340,14.169279434181659,11.84043176305344,17.547516675922548,2.6510762009051376,0.6419337843732076
42,Arabic world,350,3.51797397097806,2.937095365956864,4.350712552891451,1.2578852474756188,0.3045853744013699
43,Arabic world,370,3.4931465561986865,2.911184476841357,4.338005346010105,1.2508029220583723,0.3028704542660289
44,Arabic world,380,26.159709015273748,20.878861126308013,34.16681051581238,3.2642204032577817,0.7904010287505443
45,Arabic world,400,21.136782232660376,17.559245807184666,26.31869842277055,3.0510147565889074,0.738775237093119
46,Arabic world,420,3.5932038785692284,2.9790176128134256,4.473861886535374,1.2790442497915762,0.3097088327258068
47,Arabic world,440,22.223088958240204,18.4707783388857,27.65500956377161,3.1011317915720245,0.7509106174029314
48,Arabic world,450,3.773726773772436,3.1384086751924167,4.69397123570813,1.328063047338934,0.32157828491441465
49,Arabic world,470,3.941788635269459,3.277545903687703,4.889469915580937,1.3716345886398917,0.33212873396931075
50,Arabic world,480,20.198319274103437,16.77856665233539,25.013854086362983,3.005599396693188,0.7277783242784
51,Arabic world,500,8.524389924376434,7.091044183143826,10.507734431499381,2.142931457485819,0.5188911958421253
