,region_name,decade,N_est,N_est_min,N_est_max,score
0,Persian world,-360,6.529412455971764,4.850916180946951,9.665367966762052,1
1,Persian world,540,5.109718936857361,4.047886445113745,6.786502964599719,1
2,Persian world,570,5.622868986450536,4.45232425200212,7.508832773555558,1
3,Persian world,670,7.379031856680026,5.741128702909277,10.160768163232875,1
4,Persian world,700,7.7228013111515805,5.990737932152716,10.67993343910442,1
5,Persian world,730,15.766491711213945,12.200089693596983,21.748189736477755,2
6,Persian world,740,7.896293926891695,6.117836112368753,10.867392362777228,1
7,Persian world,770,7.829300673055495,6.116663271955526,10.624939466035991,1
8,Persian world,780,31.10408488584914,24.386236219305953,41.97167162262929,4
9,Persian world,790,7.709676990188541,6.062521071613588,10.33991258933882,1
10,Persian world,800,15.263561352458773,12.068828374681493,20.34972468007937,2
11,Persian world,820,14.894875865732374,11.874763034861392,19.661036926422163,2
12,Persian world,840,21.70520641476263,17.42913602305805,28.33088394107044,3
13,Persian world,850,7.122011393988604,5.721780951296201,9.232330974364482,1
14,Persian world,860,14.012422323121937,11.295850654570613,18.08902466773811,2
15,Persian world,880,20.314559769849872,16.489979225597462,26.051492827887927,3
16,Persian world,890,6.655023135355968,5.414304215465666,8.493034955693364,1
17,Persian world,900,32.702840730019545,26.667081895082866,41.55772401728857,5
18,Persian world,930,31.096436269856586,25.46853499326422,39.278131879874024,5
19,Persian world,940,55.102567853410456,45.11238069901604,69.42816361496325,9
20,Persian world,950,12.064437159715206,9.881706802446224,15.198385489997772,2
21,Persian world,960,5.949150945721437,4.8800136226643165,7.498198543768802,1
22,Persian world,970,23.49600592567413,19.28702189853168,29.58890769952672,4
23,Persian world,980,81.30421426307404,66.63449434753423,102.41317541274604,14
24,Persian world,990,11.500280566438834,9.444677742009242,14.49093856381319,2
25,Persian world,1000,17.108261994625966,14.066883535940558,21.56011110647312,3
26,Persian world,1010,5.665761764789902,4.66444454878936,7.137478475101015,1
27,Persian world,1020,11.277743300397875,9.284014544369182,14.197286000188994,2
28,Persian world,1030,22.48658566957978,18.49834537718443,28.323052474462806,4
29,Persian world,1040,39.295918555445944,32.347864604197255,49.43068123499775,7
30,Persian world,1050,11.229411848935298,9.243933590120804,14.118646885125344,2
31,Persian world,1060,11.24873274036586,9.264109047504286,14.11873719975869,2
32,Persian world,1070,11.284869228790292,9.3071971014166,14.144400253258125,2
33,Persian world,1080,22.67479221668869,18.70439529466013,28.40410113325737,4
34,Persian world,1090,11.405954882775289,9.427660935631408,14.272942063825473,2
35,Persian world,1100,22.98049498211528,19.03772464781548,28.695671010721355,4
36,Persian world,1110,23.180061064197726,19.20896529882478,28.984989576789033,4
37,Persian world,1120,40.96788476166591,33.979823233426934,51.125599345412304,7
38,Persian world,1130,17.7530039968479,14.7451288765564,22.158645170134232,3
39,Persian world,1140,35.94179641839925,29.873721235603917,44.861966311593214,6
40,Persian world,1160,54.24356492919959,44.94068867810701,68.08658918682451,8
41,Persian world,1170,12.506015495715474,10.389287930577817,15.595044213792136,2
42,Persian world,1180,19.066461139374823,15.831810824004773,23.783258430301576,3
43,Persian world,1200,13.165751163775415,10.916097511342684,16.433318898876085,2
44,Persian world,1210,13.41566920702163,11.112265198002673,16.729958584026484,2
45,Persian world,1220,20.521034618840975,16.975847700514112,25.638140971237913,3
46,Persian world,1230,6.980440557273574,5.765647668799796,8.738092447246395,1
47,Persian world,1240,78.4097125698005,64.74718625760083,98.2585883614949,11
48,Persian world,1250,7.283521778275257,6.017181662112251,9.138694696382816,1
49,Persian world,1260,22.339695655828496,18.4301443192458,28.090245256436987,3
50,Persian world,1270,15.234608821554058,12.562559796848422,19.178519606239163,2
51,Persian world,1280,46.77447951002491,38.51747404011362,58.90963923367691,6
52,Persian world,1290,23.94565275498349,19.686760471323172,30.19818922208286,3
53,Persian world,1300,24.527073693725452,20.150908476856273,30.949041365861184,3
54,Persian world,1310,8.377101840572061,6.878268958621334,10.592926605972265,1
55,Persian world,1320,25.75785686332815,21.128981973703397,32.61586199447803,3
56,Persian world,1340,70.72839659144124,57.868256995297926,89.96927893901557,7
57,Persian world,1350,18.50926475808523,15.179842946840976,23.42002234283093,2
58,Persian world,1360,47.452321925908635,38.868849394146274,60.04694361905058,5
59,Persian world,1370,9.73206667564757,7.974640737233634,12.321583096688329,1
60,Persian world,1380,65.03748423986372,53.29453524632054,82.21173785570434,7
61,Persian world,1390,156.20043037224667,125.52434575909882,203.7620625330728,5
62,Persian world,1400,153.84597404559867,123.64062421011306,200.71875413094926,5
63,Persian world,1410,10.744843291469447,8.81469103988881,13.597465112046397,1
64,Persian world,1420,44.024697184390845,36.12638235071537,55.662759283453425,4
65,Persian world,1430,11.269118918820642,9.248112378869218,14.263427716310108,1
66,Persian world,1440,102.06035979396461,83.54099460022672,129.51534864848736,8
67,Persian world,1450,23.59192341841108,19.361216743167073,29.826561728609207,2
68,Persian world,1460,12.057728607812356,9.89765537117089,15.229586815214626,1
69,Persian world,1470,12.316850051212445,10.118275308740689,15.553688617667706,1
70,Persian world,1480,4.798990395250701,4.01316097205122,5.962144717712395,1
71,Persian world,1490,89.75481648963304,73.91587899151645,113.21792920483696,7
72,Persian world,1500,52.262340837476344,43.01669137137584,65.91534694614539,4
73,Persian world,1510,13.301066760546773,10.950641686037864,16.767319260974993,1
74,Persian world,1520,54.108377665417414,44.53039482340415,68.23417202747923,4
75,Persian world,1530,13.742164177590936,11.315989229919952,17.334891291889797,1
76,Persian world,1540,75.00116884775215,61.79254198324532,94.62000298773538,6
